# step K_rel_l2 mu_rel_l2 E_rel_l2 nu_rel_l2
1.000000000000000000e+03 7.985729085471996447e-01 4.963230951826040349e-01 4.482393280621785880e-01 4.778805188888072264e-01
2.000000000000000000e+03 7.058290286639925526e-01 5.115365398340242509e-01 4.701161033726201088e-01 4.588033762345452016e-01
3.000000000000000000e+03 6.492508664385148176e-01 5.073187180355237524e-01 4.612662347512706540e-01 4.688136935286170703e-01
4.000000000000000000e+03 4.156219036106137410e-01 4.845894300570252611e-01 4.419227882686094788e-01 4.298752382391770599e-01
5.000000000000000000e+03 3.007574456466519108e-01 4.413060327757345469e-01 4.010676434268971580e-01 3.800568397678723009e-01
6.000000000000000000e+03 2.114851687077943521e-01 4.182620390974065572e-01 3.812106002577067554e-01 3.354804966981101977e-01
7.000000000000000000e+03 1.105918534959135502e-01 4.144740010698892974e-01 3.831840051421256388e-01 2.859024139902446304e-01
8.000000000000000000e+03 1.525660810775016918e-01 4.035594539416964555e-01 3.786742737838960648e-01 2.424732932905825644e-01
9.000000000000000000e+03 1.347197863959161135e-01 3.770068597010318712e-01 3.526225496741572929e-01 2.298074298270258164e-01
1.000000000000000000e+04 1.627124123102438868e-01 3.716140581184720904e-01 3.502210037245131469e-01 2.144381540689297150e-01
1.100000000000000000e+04 1.574287885493504124e-01 3.596079620718248271e-01 3.384835390172538094e-01 2.208925282253316746e-01
1.200000000000000000e+04 1.869837699655078345e-01 3.574996693970550754e-01 3.394452156569979229e-01 2.197442627677606841e-01
1.300000000000000000e+04 1.809853206373008283e-01 3.518755046624878480e-01 3.336364816428540325e-01 2.334153921231991724e-01
1.400000000000000000e+04 1.967608602072293267e-01 3.462659712406254142e-01 3.302323366432639018e-01 2.361059396722638426e-01
1.500000000000000000e+04 1.992305954095155984e-01 3.491261426407127888e-01 3.334920041879681496e-01 2.446667903433192570e-01
1.600000000000000000e+04 2.119879672933085990e-01 3.459140248756618075e-01 3.317431275331086948e-01 2.505544203071880527e-01
1.700000000000000000e+04 2.039849980623365810e-01 3.438168896808018182e-01 3.293238909299976425e-01 2.611128028014897406e-01
1.800000000000000000e+04 2.136000576891619318e-01 3.410980561726584814e-01 3.282713084034399320e-01 2.639141494196876603e-01
1.900000000000000000e+04 2.149941622739099112e-01 3.393465967801743699e-01 3.270131146105293984e-01 2.696422835826789988e-01
2.000000000000000000e+04 2.155045022877376537e-01 3.373537943262119865e-01 3.253072950531963881e-01 2.799209447868623024e-01
2.100000000000000000e+04 2.219939976836127205e-01 3.393340262157377718e-01 3.280600879055000640e-01 2.816533005952791546e-01
2.200000000000000000e+04 2.210786361794666588e-01 3.387121807061495016e-01 3.276465035910735013e-01 2.879453394349105189e-01
2.300000000000000000e+04 2.261417832560344288e-01 3.371105965912923330e-01 3.268729065302927728e-01 2.914344090758336780e-01
2.400000000000000000e+04 2.292489893384989375e-01 3.354830470482546012e-01 3.258291579757486289e-01 2.965493816538358751e-01
2.500000000000000000e+04 2.301143269522808732e-01 3.334315721471678429e-01 3.243190710785321951e-01 3.005452372741489464e-01
2.600000000000000000e+04 2.376964899880521231e-01 3.316189379703763374e-01 3.235829673025700792e-01 3.036174196225277511e-01
2.700000000000000000e+04 2.370850287785171706e-01 3.340424073731512178e-01 3.258629496219086485e-01 3.109753586423967819e-01
2.800000000000000000e+04 2.403956882846800258e-01 3.302755950527974105e-01 3.232726201006728139e-01 3.094690630686498523e-01
2.900000000000000000e+04 2.408682936334793079e-01 3.258521105771211568e-01 3.191234238059088568e-01 3.171407782529192532e-01
3.000000000000000000e+04 2.469299781133295901e-01 3.230820233156193044e-01 3.175980307463860397e-01 3.172344822773902062e-01
3.100000000000000000e+04 2.462617360037554215e-01 3.232043140057120345e-01 3.176432225312371682e-01 3.241689471005004264e-01
