# step K_rel_l2 mu_rel_l2 E_rel_l2 nu_rel_l2
1.000000000000000000e+03 5.020153779080999135e-01 8.462814268525759021e-01 3.839434088031415948e-01 1.055122845956594002e+00
2.000000000000000000e+03 5.814088929403088413e-01 8.340352241934113620e-01 2.757596125878474247e-01 1.296224711020132592e+00
3.000000000000000000e+03 6.095725496412791600e-01 6.535620151573704462e-01 1.682963868918127548e-01 1.302308151682014747e+00
4.000000000000000000e+03 5.553127986295198770e-01 6.421495323690358248e-01 2.161375003883211354e-01 1.136279841669954882e+00
5.000000000000000000e+03 5.306999436319213004e-01 6.461364326044434225e-01 2.462702243456339479e-01 1.103969241436478566e+00
6.000000000000000000e+03 5.161594092804409062e-01 6.333739830648102975e-01 2.441568611848143333e-01 1.119554436301055222e+00
7.000000000000000000e+03 5.177193289559722800e-01 6.451031734227207215e-01 2.444103893687731566e-01 1.181855501169727596e+00
8.000000000000000000e+03 5.020650852786626706e-01 6.829323882623175024e-01 2.738290377065588643e-01 1.194650552948201216e+00
9.000000000000000000e+03 4.750444228660236634e-01 6.734225060323157930e-01 2.831128610096773079e-01 1.116631627941798932e+00
1.000000000000000000e+04 4.687415502974465742e-01 6.434914327628269426e-01 2.727204764113287383e-01 1.085298439301443763e+00
1.100000000000000000e+04 4.333826553754170363e-01 5.933596685185583697e-01 2.704143328175436789e-01 9.758962574560822167e-01
1.200000000000000000e+04 4.200423365876831405e-01 5.733157121692129543e-01 2.621607686618329103e-01 9.470618428016196466e-01
1.300000000000000000e+04 3.882496014602623835e-01 5.042127582455508961e-01 2.411195417634655336e-01 8.458561650370080010e-01
1.400000000000000000e+04 3.590673014677504549e-01 5.151643988425730347e-01 2.587434067683817562e-01 8.015316696421691534e-01
1.500000000000000000e+04 3.174243875479275667e-01 4.708474185476889673e-01 2.543562382558012258e-01 6.983265090944119624e-01
1.600000000000000000e+04 3.139524130368545607e-01 4.225196922160070478e-01 2.285883367224792462e-01 6.538407601031427374e-01
1.700000000000000000e+04 2.933355517242728916e-01 4.267765799138221738e-01 2.393351021261553579e-01 6.171654182969059654e-01
1.800000000000000000e+04 2.908273937704331513e-01 4.090111046069465628e-01 2.291598424800488643e-01 6.065978218632778196e-01
1.900000000000000000e+04 2.893559895454719255e-01 4.010257639458288947e-01 2.246566968593101676e-01 5.991781475182780259e-01
2.000000000000000000e+04 2.837583781415115025e-01 3.959631825536327199e-01 2.235983688445276341e-01 5.888875487574830592e-01
2.100000000000000000e+04 2.816585582550403810e-01 3.982552056561513565e-01 2.253795156130923849e-01 5.918399498946179671e-01
2.200000000000000000e+04 2.775839300419517541e-01 3.999393374587842387e-01 2.282610936975019433e-01 5.851180624347943615e-01
2.300000000000000000e+04 2.820976125048829108e-01 4.144748253691966089e-01 2.358789525098269613e-01 5.979221929375518885e-01
2.400000000000000000e+04 2.725676967046553600e-01 3.860062651457161209e-01 2.221606115125125958e-01 5.721971447681629686e-01
2.500000000000000000e+04 2.679261127184657809e-01 3.971834399210725786e-01 2.305577220360846835e-01 5.756072295078159540e-01
2.600000000000000000e+04 2.653831375864634246e-01 3.946092120628415523e-01 2.310092765335620135e-01 5.671254216873345966e-01
2.700000000000000000e+04 2.646438849475140076e-01 3.862076002515284490e-01 2.264584410896135769e-01 5.604130765462265185e-01
2.800000000000000000e+04 2.557412012999733530e-01 3.776504313852201422e-01 2.253797654169282239e-01 5.384464656989084164e-01
2.900000000000000000e+04 2.556469884929766789e-01 3.718149810746307904e-01 2.225157644387874001e-01 5.277627002273153067e-01
3.000000000000000000e+04 2.460626863338167825e-01 3.773225663357345772e-01 2.294088514855225358e-01 5.206394172555339761e-01
3.100000000000000000e+04 2.413638260252900514e-01 3.688533325419604547e-01 2.257912150440301302e-01 5.044023699873710909e-01
3.200000000000000000e+04 2.417934947749322272e-01 3.562620134263786431e-01 2.190518027752284547e-01 4.900951118061486200e-01
3.300000000000000000e+04 2.299502458395403792e-01 3.472116780602065855e-01 2.176586694920739640e-01 4.672086909738257243e-01
3.400000000000000000e+04 2.382825745665468065e-01 3.594314442630149320e-01 2.218578946823289155e-01 4.894228998804446840e-01
3.500000000000000000e+04 2.274052614948851581e-01 3.323399349109305012e-01 2.089809611325116334e-01 4.538027762660858944e-01
3.600000000000000000e+04 2.274520926637735030e-01 3.487046901805856414e-01 2.201390399066519288e-01 4.621134404755977143e-01
3.700000000000000000e+04 2.226908641926249599e-01 3.453610672367565249e-01 2.201742168286290047e-01 4.512037499843771782e-01
3.800000000000000000e+04 2.172096082200342393e-01 3.317044001449885871e-01 2.130460643723491032e-01 4.340758673831793812e-01
3.900000000000000000e+04 2.167052820824345860e-01 3.302834258962168978e-01 2.137807147441752598e-01 4.244173023640233078e-01
4.000000000000000000e+04 2.072878133821149937e-01 3.218762795038404012e-01 2.125731857110651490e-01 4.020996346334367866e-01
4.100000000000000000e+04 2.059840132729019724e-01 3.248151420485155816e-01 2.148358180185312161e-01 3.990802054680779865e-01
4.200000000000000000e+04 1.989371402683532963e-01 3.203046056781344575e-01 2.144093347423984552e-01 3.848924001187105093e-01
4.300000000000000000e+04 1.959898317325575456e-01 3.183655887539745821e-01 2.145830392460799929e-01 3.769629264305159877e-01
4.400000000000000000e+04 1.949608946666025744e-01 3.173917968794227051e-01 2.147201815519674262e-01 3.702442068659744234e-01
4.500000000000000000e+04 1.920731606621373377e-01 3.139539388612105908e-01 2.143679808528437258e-01 3.606683161871060417e-01
4.600000000000000000e+04 1.915593389304933170e-01 3.150216419782747024e-01 2.165700016659541927e-01 3.542520919891312681e-01
4.700000000000000000e+04 1.818351212573492970e-01 3.174498805413276115e-01 2.235567424416974314e-01 3.358095328458814977e-01
4.800000000000000000e+04 1.847241626262119407e-01 3.155687412042458284e-01 2.222350303461594068e-01 3.367929711666124981e-01
4.900000000000000000e+04 1.841574820877209806e-01 3.270226744720342027e-01 2.300586366814749983e-01 3.432438490483434301e-01
