# step, loss_components...
0.000000000000000000e+00 1.818205688476562500e+03 2.624010925292968750e+02 2.798246219754219055e-02 1.909576356410980225e-02 3.236379940062761307e-03 6.574781984090805054e-02 3.630822058767080307e-03 8.808799088001251221e-03 4.588808224070817232e-04 1.111389882862567902e-02 3.576407674700021744e-03 7.568097114562988281e-02 3.333467102050781250e+01 2.769222557544708252e-01 9.217813611030578613e-02
1.000000000000000000e+03 3.080199062824249268e-01 8.938740938901901245e-02 6.173283606767654419e-02 7.608915865421295166e-02 1.774244457483291626e-01 1.261884719133377075e-01 6.257645785808563232e-03 1.642409339547157288e-02 3.986402601003646851e-02 3.760228678584098816e-02 5.424492433667182922e-02 4.633180797100067139e-02 2.279435843229293823e-02 1.723218709230422974e-02 7.230085320770740509e-03
2.000000000000000000e+03 7.918077707290649414e-02 3.127151355147361755e-02 2.329822629690170288e-02 4.067330807447433472e-02 4.400425776839256287e-02 4.586264863610267639e-02 8.253483101725578308e-03 4.569884389638900757e-03 6.985755637288093567e-03 1.470783911645412445e-02 2.293403446674346924e-02 3.059387207031250000e-02 7.992691360414028168e-03 9.828085079789161682e-03 2.773968270048499107e-03
3.000000000000000000e+03 3.833197802305221558e-02 1.305699534714221954e-02 1.833065785467624664e-02 2.273408323526382446e-02 1.576759479939937592e-02 1.404192950576543808e-02 7.775342091917991638e-03 1.179795013740658760e-03 3.516639349982142448e-03 4.913436714559793472e-03 1.030080765485763550e-02 1.668095402419567108e-02 3.138450905680656433e-03 5.677785258740186691e-03 3.170884912833571434e-03
4.000000000000000000e+03 2.004765160381793976e-02 4.513223655521869659e-03 4.874727223068475723e-03 4.561099689453840256e-03 8.995169773697853088e-03 2.080762758851051331e-03 3.137020627036690712e-03 3.187283582519739866e-04 2.624405082315206528e-03 1.262912526726722717e-03 6.858419626951217651e-03 8.481345139443874359e-03 9.739811648614704609e-04 3.819936886429786682e-03 4.408572334796190262e-03
5.000000000000000000e+03 1.582205295562744141e-02 3.964063245803117752e-03 3.832509508356451988e-03 3.448878414928913116e-03 5.470861680805683136e-03 8.548667537979781628e-04 1.101521309465169907e-03 2.901132393162697554e-04 1.248624641448259354e-03 4.846714145969599485e-04 4.508836660534143448e-03 5.655550397932529449e-03 6.962101324461400509e-04 3.114252584055066109e-03 4.077974241226911545e-03
6.000000000000000000e+03 6.538011133670806885e-02 1.014039851725101471e-02 2.250127866864204407e-02 1.399000268429517746e-02 3.963317256420850754e-03 1.162208383902907372e-03 6.279947119764983654e-04 3.187795518897473812e-04 7.534147589467465878e-04 4.243021830916404724e-04 2.975627314299345016e-03 1.295779738575220108e-02 2.430014545097947121e-03 2.187229925766587257e-03 3.161197761073708534e-03
7.000000000000000000e+03 5.686692893505096436e-03 1.111877849325537682e-03 1.478820340707898140e-03 1.790270558558404446e-03 2.706159371882677078e-03 6.726003484800457954e-04 2.325353416381403804e-04 2.293477155035361648e-04 4.506972618401050568e-04 1.813293201848864555e-04 1.925930730067193508e-03 2.995398594066500664e-03 2.913056814577430487e-04 1.817338401451706886e-03 2.693376038223505020e-03
8.000000000000000000e+03 4.211572930216789246e-03 8.865235140547156334e-04 1.167685259133577347e-03 1.382734742946922779e-03 2.145016333088278770e-03 6.526536308228969574e-04 1.796837168512865901e-04 2.189494844060391188e-04 2.756143803708255291e-04 1.336627901764586568e-04 1.369761303067207336e-03 2.206693869084119797e-03 2.745589008554816246e-04 1.307462225668132305e-03 2.107390202581882477e-03
9.000000000000000000e+03 5.295439437031745911e-02 2.929718047380447388e-02 1.322252117097377777e-02 1.314433198422193527e-02 1.934799249283969402e-03 9.143803617917001247e-04 3.276709176134318113e-04 2.534133382141590118e-04 2.161070442525669932e-04 1.564687263453379273e-04 1.295409630984067917e-03 2.003960544243454933e-03 7.886057719588279724e-03 7.342167664319276810e-04 1.716946600936353207e-03
