# step K_rel_l2 mu_rel_l2 E_rel_l2 nu_rel_l2
1.000000000000000000e+03 1.001222261855948314e+00 4.728841149397660093e-01 4.187430361503194920e-01 4.886485040154598947e-01
2.000000000000000000e+03 1.304428745062215844e+00 6.174997447615311330e-01 5.797016397486861594e-01 5.432529741320381023e-01
3.000000000000000000e+03 1.409599742820699220e+00 7.074866160286953365e-01 6.750025298315419642e-01 5.819949812811214818e-01
4.000000000000000000e+03 1.150067487526301280e+00 7.091864978359501137e-01 6.813508628405842149e-01 5.707991757599145677e-01
5.000000000000000000e+03 1.125177911651827234e+00 6.964401810113316493e-01 6.720646550463053037e-01 5.497829721300817596e-01
6.000000000000000000e+03 9.623789518184746594e-01 6.754872580401025672e-01 6.521457967824592084e-01 5.214681309347451998e-01
7.000000000000000000e+03 7.413009899638024480e-01 6.417440359883574974e-01 6.176158213213729375e-01 4.843386211170960243e-01
8.000000000000000000e+03 5.696910546549550647e-01 6.131056995468304738e-01 5.883003419677976797e-01 4.541208793118471920e-01
9.000000000000000000e+03 4.870699183984147917e-01 5.816898277107748205e-01 5.558264337513604270e-01 4.300869849957738023e-01
1.000000000000000000e+04 4.239955037673869276e-01 5.410283204512347233e-01 5.132671271414076530e-01 4.025315887450054975e-01
1.100000000000000000e+04 3.520565530057618298e-01 4.990968034732059522e-01 4.694649783197298865e-01 3.708674709462836949e-01
1.200000000000000000e+04 2.924110661928059351e-01 4.676025054459111430e-01 4.376184865012157643e-01 3.446039192118151018e-01
1.300000000000000000e+04 2.877051323548026618e-01 4.524116995861812152e-01 4.214363756896883362e-01 3.371963369549041412e-01
1.400000000000000000e+04 2.784540567379473752e-01 4.405409063829779370e-01 4.083037338497084168e-01 3.331431694729944382e-01
1.500000000000000000e+04 2.683016978672466135e-01 4.276299357717227578e-01 3.945211932665779186e-01 3.269845492474675597e-01
1.600000000000000000e+04 2.661610056411932157e-01 4.168278466204567989e-01 3.826162237326543036e-01 3.245924019808246186e-01
1.700000000000000000e+04 2.557920921793589430e-01 4.109871561214137325e-01 3.759685348904926450e-01 3.228903536583683787e-01
1.800000000000000000e+04 2.627678858458799005e-01 3.997392682411938236e-01 3.637990912227116458e-01 3.218855899937874132e-01
1.900000000000000000e+04 2.575867594537435412e-01 4.017099029316415493e-01 3.651152622149814175e-01 3.245920156521316380e-01
2.000000000000000000e+04 2.636535082504175009e-01 3.876507422638147959e-01 3.508013661635359659e-01 3.204689806261049601e-01
2.100000000000000000e+04 2.603952809374561195e-01 3.838150715120390299e-01 3.468610740038702844e-01 3.188415130578194923e-01
2.200000000000000000e+04 2.568181392819091080e-01 3.743505257439398437e-01 3.374531209037687773e-01 3.141521008515179569e-01
2.300000000000000000e+04 2.549153873761847988e-01 3.694172121466876568e-01 3.324897003607372725e-01 3.117103103478330861e-01
2.400000000000000000e+04 2.502952716895737728e-01 3.635948917464933983e-01 3.268495839357992150e-01 3.075719573891315672e-01
2.500000000000000000e+04 2.531152704565225453e-01 3.587111538647242415e-01 3.217643953775055077e-01 3.065761565502266861e-01
2.600000000000000000e+04 2.592379469259447622e-01 3.533842079089669075e-01 3.161601825766125473e-01 3.060406663489518841e-01
2.700000000000000000e+04 2.513604296302023311e-01 3.495184207932130471e-01 3.124625180698862303e-01 3.021840629060066341e-01
2.800000000000000000e+04 2.497196185027974191e-01 3.475159917009116861e-01 3.104274343474494602e-01 3.011278209430923725e-01
2.900000000000000000e+04 2.486929108371832842e-01 3.447003913419414145e-01 3.075753331156714232e-01 2.997929587268345908e-01
3.000000000000000000e+04 2.491310568128128899e-01 3.421272821756274896e-01 3.049155354186267597e-01 2.991505906926597569e-01
3.100000000000000000e+04 2.475328244795721444e-01 3.393694710859523900e-01 3.021127817991509645e-01 2.973837936812678828e-01
3.200000000000000000e+04 2.357055804367507168e-01 3.396504099534428667e-01 3.026337136346786694e-01 2.948083720826973342e-01
3.300000000000000000e+04 2.489261446456816351e-01 3.378638000833538158e-01 3.004047594261745058e-01 2.977522546721529939e-01
3.400000000000000000e+04 2.499772105742791295e-01 3.342872537066854943e-01 2.968288856441500534e-01 2.961707795347612859e-01
3.500000000000000000e+04 2.466383670440541465e-01 3.360946182557623674e-01 2.985563927163236708e-01 2.962505177769826914e-01
3.600000000000000000e+04 2.439797658523985280e-01 3.309672116108978712e-01 2.935726018059496845e-01 2.930732926569953323e-01
3.700000000000000000e+04 2.396707753689106546e-01 3.301976104504729670e-01 2.929085550819135464e-01 2.913557525539524629e-01
3.800000000000000000e+04 2.453286081055350287e-01 3.314072696839615584e-01 2.938505199280643243e-01 2.934414832177953958e-01
3.900000000000000000e+04 2.428123582541618641e-01 3.269926169865780552e-01 2.895693590796471484e-01 2.906760844844749059e-01
4.000000000000000000e+04 2.488198490393067897e-01 3.268208388987852708e-01 2.889833419901579603e-01 2.926813428815798201e-01
4.100000000000000000e+04 2.407839617489809791e-01 3.236887664843270396e-01 2.862469907721418294e-01 2.881671307375235358e-01
4.200000000000000000e+04 2.430491425891289914e-01 3.245992933870422981e-01 2.869688103105806354e-01 2.895385782810021014e-01
4.300000000000000000e+04 2.335160340674256318e-01 3.228099456656824962e-01 2.854421909413181191e-01 2.853948360370341941e-01
4.400000000000000000e+04 2.417426864659296404e-01 3.228798344712386359e-01 2.852380784979804407e-01 2.879531239580731539e-01
4.500000000000000000e+04 2.455301899338855065e-01 3.178947960924523031e-01 2.802372782173283561e-01 2.866796107382531544e-01
4.600000000000000000e+04 2.384507153897845178e-01 3.178654157099986555e-01 2.802712061201261262e-01 2.851350879403404814e-01
4.700000000000000000e+04 2.391992984820122958e-01 3.161126315507705731e-01 2.786123042650556769e-01 2.838586965717581623e-01
