# step train_loss_terms test_loss_terms
0.000000000000000000e+00 1.370966732501983643e-01 9.147055447101593018e-02 7.027135044336318970e-02 1.286888774484395981e-02 3.462917208671569824e-01 1.999344443902373314e-03 1.787920296192169189e-02 8.673490583896636963e-02 1.178956255316734314e-01 4.944627359509468079e-02 5.806862190365791321e-02 1.370966732501983643e-01 9.147055447101593018e-02 7.027135044336318970e-02 1.286888774484395981e-02 3.462917208671569824e-01 1.999344443902373314e-03 1.787920296192169189e-02 8.673490583896636963e-02 1.178956255316734314e-01 4.944627359509468079e-02 5.806862190365791321e-02
1.000000000000000000e+03 1.869054161943495274e-03 1.425835955888032913e-02 5.842762184329330921e-04 5.255216965451836586e-04 1.533033209852874279e-04 1.546378734929021448e-05 1.631893792364280671e-05 1.304063971474533901e-05 2.494476393621880561e-05 1.019398405333049595e-04 7.774314326525200158e-06 1.869054161943495274e-03 1.425835955888032913e-02 5.842762184329330921e-04 5.255216965451836586e-04 1.533033209852874279e-04 1.546378734929021448e-05 1.631893792364280671e-05 1.304063971474533901e-05 2.494476393621880561e-05 1.019398405333049595e-04 7.774314326525200158e-06
2.000000000000000000e+03 8.874796330928802490e-04 4.155594855546951294e-03 2.361014921916648746e-04 2.133302768925204873e-04 6.074240809539332986e-05 9.478873835178092122e-05 6.494788976851850748e-05 3.247112908866256475e-05 2.974269045807886869e-05 1.658065011724829674e-04 7.594876024086261168e-06 8.874796330928802490e-04 4.155594855546951294e-03 2.361014921916648746e-04 2.133302768925204873e-04 6.074240809539332986e-05 9.478873835178092122e-05 6.494788976851850748e-05 3.247112908866256475e-05 2.974269045807886869e-05 1.658065011724829674e-04 7.594876024086261168e-06
3.000000000000000000e+03 8.056379156187176704e-04 2.135459566488862038e-03 1.750589872244745493e-04 1.730425283312797546e-04 4.673957300838083029e-05 8.550675556762143970e-05 3.429173375479876995e-05 3.580249176593497396e-05 1.966762647498399019e-05 1.455696183256804943e-04 5.654621872963616624e-07 8.056379156187176704e-04 2.135459566488862038e-03 1.750589872244745493e-04 1.730425283312797546e-04 4.673957300838083029e-05 8.550675556762143970e-05 3.429173375479876995e-05 3.580249176593497396e-05 1.966762647498399019e-05 1.455696183256804943e-04 5.654621872963616624e-07
4.000000000000000000e+03 6.251311278901994228e-04 1.806605490855872631e-03 4.139990778639912605e-04 5.140229477547109127e-04 1.592041080584749579e-04 3.877645212924107909e-05 8.102064384729601443e-06 8.655925921630114317e-05 2.808807948895264417e-05 1.567606814205646515e-04 2.679506724234670401e-05 6.251311278901994228e-04 1.806605490855872631e-03 4.139990778639912605e-04 5.140229477547109127e-04 1.592041080584749579e-04 3.877645212924107909e-05 8.102064384729601443e-06 8.655925921630114317e-05 2.808807948895264417e-05 1.567606814205646515e-04 2.679506724234670401e-05
5.000000000000000000e+03 3.514871350489556789e-04 4.716108960565179586e-04 8.916504884837195277e-05 1.195844597532413900e-04 4.816970613319426775e-05 6.437595857278211042e-06 6.748506166331935674e-06 2.121661418641451746e-05 2.300751020811730996e-06 1.057159315678291023e-04 2.653314368217252195e-07 3.514871350489556789e-04 4.716108960565179586e-04 8.916504884837195277e-05 1.195844597532413900e-04 4.816970613319426775e-05 6.437595857278211042e-06 6.748506166331935674e-06 2.121661418641451746e-05 2.300751020811730996e-06 1.057159315678291023e-04 2.653314368217252195e-07
6.000000000000000000e+03 2.994470996782183647e-04 2.831944148056209087e-04 7.244919106597080827e-05 9.034059621626511216e-05 2.349610003875568509e-04 8.062432243605144322e-06 2.329355265828780830e-05 2.580233558546751738e-05 2.165638943552039564e-05 5.389365469454787672e-05 1.603970304131507874e-06 2.994470996782183647e-04 2.831944148056209087e-04 7.244919106597080827e-05 9.034059621626511216e-05 2.349610003875568509e-04 8.062432243605144322e-06 2.329355265828780830e-05 2.580233558546751738e-05 2.165638943552039564e-05 5.389365469454787672e-05 1.603970304131507874e-06
7.000000000000000000e+03 1.797477889340370893e-04 1.706900802673771977e-04 5.440671156975440681e-05 5.675161810358986259e-05 1.330040959146572277e-05 1.554415575810708106e-06 2.078200168398325332e-06 3.968302280554780737e-06 2.953148850792786106e-06 3.200096398359164596e-05 3.722744565948232776e-07 1.797477889340370893e-04 1.706900802673771977e-04 5.440671156975440681e-05 5.675161810358986259e-05 1.330040959146572277e-05 1.554415575810708106e-06 2.078200168398325332e-06 3.968302280554780737e-06 2.953148850792786106e-06 3.200096398359164596e-05 3.722744565948232776e-07
8.000000000000000000e+03 1.550551387481391430e-04 1.266242761630564928e-04 4.623923450708389282e-05 4.332390017225407064e-05 1.148858973465394229e-05 3.082127705056336708e-06 2.194071612393599935e-06 2.570857986938790418e-06 1.582096047059167176e-06 1.965320734598208219e-05 7.157639174693031237e-07 1.550551387481391430e-04 1.266242761630564928e-04 4.623923450708389282e-05 4.332390017225407064e-05 1.148858973465394229e-05 3.082127705056336708e-06 2.194071612393599935e-06 2.570857986938790418e-06 1.582096047059167176e-06 1.965320734598208219e-05 7.157639174693031237e-07
9.000000000000000000e+03 1.336358982371166348e-04 9.380170376971364021e-05 3.341159754199907184e-05 1.970405173778999597e-05 8.281720511149615049e-06 2.519275994927738793e-06 2.596970489321392961e-06 1.819204726416501217e-06 1.530856138742819894e-06 1.458921360608655959e-05 1.940211546980208368e-09 1.336358982371166348e-04 9.380170376971364021e-05 3.341159754199907184e-05 1.970405173778999597e-05 8.281720511149615049e-06 2.519275994927738793e-06 2.596970489321392961e-06 1.819204726416501217e-06 1.530856138742819894e-06 1.458921360608655959e-05 1.940211546980208368e-09
