# step K_rel_l2 mu_rel_l2 E_rel_l2 nu_rel_l2
1.000000000000000000e+03 8.762157112722379626e-01 8.474820776722059579e-01 7.855336872735382281e-01 2.956594928260987132e-01
2.000000000000000000e+03 4.289746354792578487e-01 3.885497878547495842e-01 3.205272532351260972e-01 2.663697125412756717e-01
3.000000000000000000e+03 4.064433523134886039e-01 3.579778807523432138e-01 2.996620472032819338e-01 2.418004825554045945e-01
4.000000000000000000e+03 2.757731340194222724e-01 3.931455803249161440e-01 3.185441514199879309e-01 2.294407459481281608e-01
5.000000000000000000e+03 2.353955011251455121e-01 4.263258942675462460e-01 3.498125517434415577e-01 2.146622633437003103e-01
6.000000000000000000e+03 1.290028470267982064e-01 5.156415503844660186e-01 4.114851446654694822e-01 2.658770468756124772e-01
7.000000000000000000e+03 1.183293176603668895e-01 5.788097848095289377e-01 4.550412139993850191e-01 3.206668581826254139e-01
8.000000000000000000e+03 1.286245645788395842e-01 6.262738809812298246e-01 4.727003467640368273e-01 3.885694379851803437e-01
9.000000000000000000e+03 1.169141576279553313e-01 5.938996434433734262e-01 4.590770901904268064e-01 3.643127865447616243e-01
1.000000000000000000e+04 1.122957139915999741e-01 5.762572831258978567e-01 4.576557063643804657e-01 3.399887980131646170e-01
1.100000000000000000e+04 1.247961887713014695e-01 5.319935290148577467e-01 4.209835948824713348e-01 3.426154081635487958e-01
1.200000000000000000e+04 1.398737471320473102e-01 4.846150422140740321e-01 4.089415965898584582e-01 2.941232374622148038e-01
1.300000000000000000e+04 1.471197386151871234e-01 4.517960363213978647e-01 3.842198281022410900e-01 2.946797632608198492e-01
1.400000000000000000e+04 1.451580176942742495e-01 4.403656250231290370e-01 3.714126352415081378e-01 3.101475335191792859e-01
1.500000000000000000e+04 1.774908044116702832e-01 4.259465693898752403e-01 3.721801688819094123e-01 2.990304038362882055e-01
1.600000000000000000e+04 1.922051769428149981e-01 4.032692417069986823e-01 3.586625793308683696e-01 2.961349282320570597e-01
1.700000000000000000e+04 2.101300648672807803e-01 4.026331475950982730e-01 3.632203411539020599e-01 3.077012036533524064e-01
1.800000000000000000e+04 1.895290433065035529e-01 4.149473255078555134e-01 3.716177241907496209e-01 3.248467221593825949e-01
1.900000000000000000e+04 2.200769335781693481e-01 4.037163063241746008e-01 3.691226153498559093e-01 3.247408294646495497e-01
2.000000000000000000e+04 2.384915326824447734e-01 3.947328275196781977e-01 3.658003605895487342e-01 3.255411866177994606e-01
2.100000000000000000e+04 2.405341037700397255e-01 3.996144163353961831e-01 3.712029816949022898e-01 3.332295912016036143e-01
2.200000000000000000e+04 2.571661183993087518e-01 3.914102242081856642e-01 3.678175719830016899e-01 3.336447786478990429e-01
2.300000000000000000e+04 2.639493579326866457e-01 3.860546044122381004e-01 3.636888368933386406e-01 3.372309906386602441e-01
2.400000000000000000e+04 2.471044768560578808e-01 3.850443372933374242e-01 3.634288138096474774e-01 3.361791335064107655e-01
2.500000000000000000e+04 2.694285634074329860e-01 3.818975746876523414e-01 3.632336261760819029e-01 3.378045728490583488e-01
2.600000000000000000e+04 2.784511392510816141e-01 3.753849036175795906e-01 3.584484293152170320e-01 3.392646635111304376e-01
2.700000000000000000e+04 2.953736640111861433e-01 3.735269035396246440e-01 3.580922771735988164e-01 3.412689367700683651e-01
2.800000000000000000e+04 3.018286587487000183e-01 3.692419307868387568e-01 3.551651666627437809e-01 3.426553931832674316e-01
2.900000000000000000e+04 3.133398784123406222e-01 3.668608539198688345e-01 3.543362494070396718e-01 3.420452256456485429e-01
3.000000000000000000e+04 3.161408034208176843e-01 3.642971947563280466e-01 3.520180243913748064e-01 3.468384443717412724e-01
3.100000000000000000e+04 3.204924277453917170e-01 3.638793927645619375e-01 3.521531682665753893e-01 3.501410138361508717e-01
3.200000000000000000e+04 3.005165052690740302e-01 3.664151729479587782e-01 3.540852192614394878e-01 3.521817178908324131e-01
3.300000000000000000e+04 3.153233291057115362e-01 3.639030619303862957e-01 3.527869887264723503e-01 3.531067433131919175e-01
3.400000000000000000e+04 3.352875816345660120e-01 3.614664920564773509e-01 3.514188812457831879e-01 3.556994724372058436e-01
3.500000000000000000e+04 3.396258295570949159e-01 3.606840848175280057e-01 3.507155926100773424e-01 3.605590624327445481e-01
3.600000000000000000e+04 3.299857098190307481e-01 3.623648016658876925e-01 3.521943631900527061e-01 3.623305726541901639e-01
3.700000000000000000e+04 3.623244828891938885e-01 3.597828901605420460e-01 3.511275645542905610e-01 3.667147079273357924e-01
3.800000000000000000e+04 3.590922101999537430e-01 3.582886710304629685e-01 3.498736628454688913e-01 3.685867022418133909e-01
3.900000000000000000e+04 3.647283544493116203e-01 3.584734023930850055e-01 3.506186914312030556e-01 3.712023792901875674e-01
4.000000000000000000e+04 3.740935423354652123e-01 3.572164342672085602e-01 3.495890681481048645e-01 3.750763288914455429e-01
4.100000000000000000e+04 3.705386946833267303e-01 3.571857291180109972e-01 3.498280622907045112e-01 3.776893016389691882e-01
4.200000000000000000e+04 3.630895800580205557e-01 3.569072042699205638e-01 3.496259709874933730e-01 3.804256677710157186e-01
4.300000000000000000e+04 3.639019625328420160e-01 3.578801424059041558e-01 3.504195750645826002e-01 3.833982738987909977e-01
4.400000000000000000e+04 3.687688810942235107e-01 3.567339247798179680e-01 3.501845777833567097e-01 3.848026173304728292e-01
4.500000000000000000e+04 3.847283874774636292e-01 3.559953231612004165e-01 3.498934654768207086e-01 3.902104850070224340e-01
4.600000000000000000e+04 3.919854709153857142e-01 3.567023953313130935e-01 3.508350669719375037e-01 3.939022033638236997e-01
4.700000000000000000e+04 3.905847194148067136e-01 3.563837742097738515e-01 3.505311465414537864e-01 3.981762349594833994e-01
4.800000000000000000e+04 3.891705639887215740e-01 3.553842229818682807e-01 3.495394026036479085e-01 3.981310345024101638e-01
4.900000000000000000e+04 3.934118467581539935e-01 3.559563750189296272e-01 3.506020681213985468e-01 4.026440490275183803e-01
5.000000000000000000e+04 4.020939023423334424e-01 3.556133193107806068e-01 3.507257664390287522e-01 4.064067745980808333e-01
5.100000000000000000e+04 4.079099674562361999e-01 3.561319802106492904e-01 3.511138707621974664e-01 4.093368459367641155e-01
5.200000000000000000e+04 4.085181533739123960e-01 3.563055246541005916e-01 3.516257188218757102e-01 4.117606335233583437e-01
5.300000000000000000e+04 4.156059675266958187e-01 3.566834658865057350e-01 3.524746658033278690e-01 4.139306804244339832e-01
5.400000000000000000e+04 4.136294527454964509e-01 3.573171459790062121e-01 3.530464440741729604e-01 4.159228229624138407e-01
5.500000000000000000e+04 4.208664165334288776e-01 3.573375768261232710e-01 3.535314949950952301e-01 4.160819903839023670e-01
5.600000000000000000e+04 4.205159327810784053e-01 3.566087490421496198e-01 3.527460208973912659e-01 4.186306780369218883e-01
5.700000000000000000e+04 4.254287054284827674e-01 3.572590034385793034e-01 3.536827625724285884e-01 4.186677269585741823e-01
5.800000000000000000e+04 4.287129424120874055e-01 3.572621828787647114e-01 3.537052903365352496e-01 4.200774017262184912e-01
5.900000000000000000e+04 4.233965382091450791e-01 3.575575175448721943e-01 3.543628421608390200e-01 4.222357428678982783e-01
6.000000000000000000e+04 4.291533453115188301e-01 3.576782185148723037e-01 3.545482420259267742e-01 4.230825367299387296e-01
6.100000000000000000e+04 4.406374543660762644e-01 3.590781731313074099e-01 3.559903822797891859e-01 4.235387909162929843e-01
6.200000000000000000e+04 4.408231001105087921e-01 3.600975664211105154e-01 3.572613387777682226e-01 4.258154259037488787e-01
6.300000000000000000e+04 4.434753433826738589e-01 3.586074099090461043e-01 3.559525937722553546e-01 4.248246087049828978e-01
6.400000000000000000e+04 4.368532537134401927e-01 3.594565853918881282e-01 3.568062188982700222e-01 4.265324905907024178e-01
6.500000000000000000e+04 4.480044389837639640e-01 3.597357873429810060e-01 3.573234036762597543e-01 4.273547525807416259e-01
6.600000000000000000e+04 4.438953238740446783e-01 3.600126047139348695e-01 3.575738887953089917e-01 4.272796502828353771e-01
6.700000000000000000e+04 4.484633926959081807e-01 3.596240359083175409e-01 3.572205753336437084e-01 4.273281345337985315e-01
6.800000000000000000e+04 4.518921003262921232e-01 3.611058905487868342e-01 3.584990940750175104e-01 4.288234970055354589e-01
6.900000000000000000e+04 4.546867775091226194e-01 3.607225030531012178e-01 3.584685271692840125e-01 4.287841301117255588e-01
7.000000000000000000e+04 4.547677240079181504e-01 3.606973324849670481e-01 3.585346797669077823e-01 4.285590936480919155e-01
7.100000000000000000e+04 4.539876540763085333e-01 3.622891133259193430e-01 3.602480842770751090e-01 4.297546650541125834e-01
7.200000000000000000e+04 4.543874048238457086e-01 3.614381126088967999e-01 3.591957515543532375e-01 4.315520206651154433e-01
7.300000000000000000e+04 4.641842156253723206e-01 3.627668536530319066e-01 3.605390603269733596e-01 4.296933546905440382e-01
7.400000000000000000e+04 4.609533466326431461e-01 3.626869260594830502e-01 3.606664375738226069e-01 4.304385054734737870e-01
