# step K_rel_l2 mu_rel_l2 E_rel_l2 nu_rel_l2
1.000000000000000000e+03 1.282699110221478811e-01 7.230510355494669250e-01 5.295161853809456920e-01 5.159724893791610700e-01
2.000000000000000000e+03 2.472331215127632487e-01 1.051257992612028680e+00 6.594736333413502294e-01 8.271838175872014975e-01
3.000000000000000000e+03 2.849647314370605256e-01 1.005289528654933706e+00 6.268008812715679667e-01 8.089978579617980170e-01
4.000000000000000000e+03 3.706554492048809157e-01 8.389190209537025211e-01 4.804580275961248259e-01 8.321862333005176637e-01
5.000000000000000000e+03 4.139880008719193927e-01 7.754754116814736031e-01 4.167180354190756497e-01 9.130864749645550837e-01
6.000000000000000000e+03 4.861650570946394745e-01 7.605580671169462903e-01 3.448218798728616141e-01 1.073949802149312349e+00
7.000000000000000000e+03 4.892623272076836449e-01 7.140166562627436875e-01 3.168063569716648153e-01 1.056377641551241364e+00
8.000000000000000000e+03 5.009486236067335341e-01 6.396751624840341099e-01 2.669599318280663214e-01 1.027479405396706236e+00
9.000000000000000000e+03 5.070800800602141001e-01 5.780185163530259240e-01 2.237883333069797531e-01 9.992860645752972282e-01
1.000000000000000000e+04 5.212939659765684075e-01 4.355678203441477048e-01 1.638579291098421209e-01 9.309170894581985101e-01
1.100000000000000000e+04 4.668021921885947001e-01 4.229011661597292249e-01 1.799954953555476800e-01 8.363854716612254547e-01
1.200000000000000000e+04 4.841829275273965005e-01 3.588233468883023636e-01 1.771308585130973723e-01 8.137316207020482972e-01
1.300000000000000000e+04 4.737300675095178493e-01 3.280806626329763609e-01 1.968210327199329257e-01 7.513504312624614823e-01
1.400000000000000000e+04 5.279936718058169109e-01 3.192049609629117324e-01 2.105960791879876171e-01 8.442123364485768500e-01
1.500000000000000000e+04 5.114039056891800383e-01 3.359108878280134269e-01 2.072409638685450139e-01 8.318665076742460807e-01
1.600000000000000000e+04 4.946601182847975009e-01 3.489712921279809477e-01 2.085856352075425579e-01 8.114722932400357802e-01
1.700000000000000000e+04 5.256216999369960341e-01 3.275284115363345516e-01 2.148210341733362005e-01 8.684095705360224127e-01
1.800000000000000000e+04 5.230467700667748021e-01 3.276280634347370491e-01 2.206210931815438536e-01 8.730340795219112549e-01
1.900000000000000000e+04 5.363081240449050213e-01 3.286103338164498844e-01 2.247540976458561324e-01 9.209335833754163092e-01
2.000000000000000000e+04 5.457938646902305013e-01 3.071382789171766547e-01 2.336248816610990153e-01 9.279988397775189579e-01
2.100000000000000000e+04 5.725355493021921927e-01 3.116083068644552867e-01 2.392292534280693883e-01 1.017430996093511286e+00
2.200000000000000000e+04 5.589812356051976350e-01 2.976142658419067000e-01 2.387915062698832414e-01 9.676697742687605519e-01
2.300000000000000000e+04 5.517441066764993129e-01 3.019914423600681963e-01 2.326214196524473143e-01 9.732223220408137143e-01
2.400000000000000000e+04 5.513904302026729765e-01 3.061536239553247496e-01 2.286024392844855369e-01 9.842686183578555070e-01
2.500000000000000000e+04 5.391641234988393538e-01 3.041679752417794647e-01 2.253085259048287492e-01 9.555873443972716652e-01
2.600000000000000000e+04 5.503412909163454270e-01 3.036988311788718087e-01 2.263763918842532086e-01 9.886277967974376191e-01
2.700000000000000000e+04 5.525540670867529203e-01 3.045156823531626200e-01 2.262882338396340620e-01 9.995289107916750515e-01
2.800000000000000000e+04 5.435110688350437425e-01 3.014787281909166450e-01 2.254530941974731140e-01 9.759095471631190621e-01
2.900000000000000000e+04 5.495201559809265168e-01 3.025102798955027206e-01 2.277030319281895532e-01 9.992491315522528117e-01
3.000000000000000000e+04 5.512796757956164306e-01 3.058467490989147941e-01 2.315261433793970591e-01 1.000022098001073667e+00
3.100000000000000000e+04 5.589825016844035543e-01 3.132001465839295840e-01 2.284421333501819584e-01 1.039501027131927380e+00
3.200000000000000000e+04 5.635860207240327435e-01 2.965755015183815790e-01 2.337734241056775297e-01 1.030314748939882286e+00
3.300000000000000000e+04 5.562855327881165435e-01 3.046085926608017025e-01 2.259442993765333751e-01 1.032975394648113943e+00
3.400000000000000000e+04 5.612559946097730457e-01 2.998939538940765259e-01 2.300944040488822895e-01 1.046340126717187013e+00
3.500000000000000000e+04 5.655768477049510912e-01 3.010012528171528978e-01 2.357550952261193988e-01 1.064676677267095917e+00
3.600000000000000000e+04 5.711744040619896046e-01 2.968420740265159119e-01 2.449221693001324696e-01 1.084690589735982647e+00
3.700000000000000000e+04 5.702544599015872961e-01 2.898258443974550125e-01 2.518897433088332916e-01 1.078822179624587152e+00
3.800000000000000000e+04 5.685464640058859320e-01 2.819155738518251963e-01 2.582579924964255036e-01 1.073646920454052855e+00
3.900000000000000000e+04 5.711436878795156380e-01 2.844869166624806045e-01 2.617403715155192656e-01 1.090781988768939170e+00
4.000000000000000000e+04 5.716146693441159776e-01 2.809804946054562658e-01 2.682041820250479214e-01 1.091758473173197297e+00
4.100000000000000000e+04 5.778774677534798121e-01 2.787275079629912833e-01 2.715269136835871677e-01 1.116410184335009603e+00
4.200000000000000000e+04 5.767590243923588211e-01 2.770933345862340857e-01 2.717595491830921972e-01 1.120499164486754129e+00
4.300000000000000000e+04 5.750986440841842073e-01 2.749424138615715885e-01 2.720979425429246867e-01 1.124543175978641285e+00
4.400000000000000000e+04 5.794395342589689912e-01 2.712627123144447094e-01 2.765056858078043245e-01 1.137505044486723627e+00
4.500000000000000000e+04 5.813822502300626249e-01 2.660143986247532899e-01 2.843075819188396469e-01 1.129982915772357988e+00
4.600000000000000000e+04 5.743314000853997348e-01 2.616617744502454102e-01 2.762793181136354304e-01 1.125487286038431733e+00
4.700000000000000000e+04 5.768784762130908517e-01 2.585682380284042847e-01 2.794855730563448049e-01 1.131040760999348027e+00
4.800000000000000000e+04 5.741863514459394358e-01 2.533664678103153545e-01 2.782442750865142811e-01 1.127706126253424923e+00
4.900000000000000000e+04 5.741129738989183551e-01 2.473952141888453859e-01 2.807042070054309169e-01 1.124475877520332512e+00
5.000000000000000000e+04 5.741417634391224878e-01 2.435105712264366284e-01 2.849935659615522865e-01 1.118957481204734705e+00
5.100000000000000000e+04 5.674120570373859529e-01 2.418438527466708343e-01 2.776770614130335546e-01 1.116301935035249659e+00
5.200000000000000000e+04 5.680103620325638314e-01 2.374027341536702473e-01 2.829360907316465501e-01 1.113575690714958100e+00
5.300000000000000000e+04 5.623775756454477692e-01 2.342765348717766316e-01 2.806464114815886424e-01 1.104404633873414365e+00
5.400000000000000000e+04 5.685574733902851730e-01 2.349607916146332076e-01 2.926822555160635275e-01 1.108803604168368651e+00
5.500000000000000000e+04 5.620001189013191789e-01 2.323877118875802006e-01 2.850979158366230837e-01 1.110034910978485723e+00
5.600000000000000000e+04 5.603023066861870793e-01 2.331312151431502444e-01 2.841462313503133608e-01 1.113450520218447704e+00
5.700000000000000000e+04 5.571126678380330377e-01 2.309476462780657990e-01 2.845431469360561461e-01 1.105793717321725378e+00
5.800000000000000000e+04 5.549073780490170194e-01 2.310177705977097540e-01 2.865204578440902483e-01 1.099816826113354296e+00
5.900000000000000000e+04 5.536005641208247008e-01 2.311395902596269092e-01 2.878173939409988114e-01 1.100113758346742854e+00
6.000000000000000000e+04 5.548043302110399200e-01 2.313297531658989881e-01 2.896622406877080169e-01 1.106448003596077312e+00
6.100000000000000000e+04 5.516559765543831428e-01 2.313527893876124175e-01 2.895972916903842842e-01 1.102294429286874156e+00
6.200000000000000000e+04 5.501874898162877336e-01 2.319961844362348202e-01 2.907047629325124616e-01 1.102348283506669135e+00
6.300000000000000000e+04 5.536379960277821866e-01 2.347012550898720518e-01 2.959477139678718949e-01 1.111932480252435518e+00
6.400000000000000000e+04 5.495454775650447932e-01 2.357700327399618045e-01 2.963315262069517453e-01 1.104033603796721330e+00
6.500000000000000000e+04 5.488151150039978221e-01 2.351274619906467134e-01 2.952061372169604847e-01 1.105862252031851733e+00
6.600000000000000000e+04 5.445554740860796272e-01 2.346290553023293035e-01 2.945665031405197976e-01 1.096006157151998783e+00
6.700000000000000000e+04 5.471290828301729192e-01 2.361075980259388640e-01 2.977689201879327729e-01 1.106266583641875689e+00
6.800000000000000000e+04 5.447679001580634228e-01 2.375996828095972013e-01 3.019038095357338691e-01 1.090071530302634706e+00
6.900000000000000000e+04 5.420815002707995989e-01 2.364813147243939873e-01 2.987521707953194050e-01 1.093078326519734578e+00
7.000000000000000000e+04 5.443166805384596074e-01 2.389720675581286369e-01 2.989082981927322358e-01 1.107469688457408674e+00
7.100000000000000000e+04 5.386175075634160869e-01 2.371154658450700392e-01 2.982290815630275205e-01 1.089657849538241852e+00
7.200000000000000000e+04 5.361383042905464302e-01 2.380137018563279749e-01 2.977275662983780435e-01 1.090234947339745464e+00
7.300000000000000000e+04 5.390726355144814796e-01 2.390770185235067402e-01 3.038094494523156386e-01 1.088240332298130886e+00
7.400000000000000000e+04 5.370624320170204191e-01 2.398229505181072585e-01 3.013744979169850069e-01 1.093804469930971912e+00
7.500000000000000000e+04 5.304992425543227919e-01 2.378299861482095490e-01 2.990157819704711284e-01 1.075812833638114085e+00
7.600000000000000000e+04 5.338138929623303941e-01 2.392158835175287879e-01 3.005619314578100165e-01 1.088669698007457054e+00
7.700000000000000000e+04 5.314476459733971092e-01 2.392185036117556451e-01 3.006407559227438075e-01 1.081706586911765688e+00
7.800000000000000000e+04 5.324349675663229142e-01 2.383646031275269972e-01 3.021954441593812102e-01 1.083590866478678638e+00
7.900000000000000000e+04 5.297578155619545592e-01 2.380876532798987533e-01 2.991980025140115740e-01 1.082743724920814499e+00
8.000000000000000000e+04 5.301939523249312725e-01 2.398025049513596851e-01 3.004641446107904068e-01 1.085272709810494396e+00
8.100000000000000000e+04 5.298551385200439556e-01 2.400372388987488670e-01 3.015583081212991345e-01 1.083977967828997802e+00
8.200000000000000000e+04 5.264869825038559492e-01 2.387658160957333575e-01 2.994207821167199080e-01 1.078350858619208541e+00
8.300000000000000000e+04 5.262890337723572509e-01 2.431408288282131958e-01 3.061229736139783886e-01 1.069161258000404180e+00
8.400000000000000000e+04 5.274697902491780610e-01 2.393061884505715553e-01 3.013607359965730925e-01 1.082209741401442216e+00
8.500000000000000000e+04 5.269590649068962573e-01 2.398500493578353265e-01 3.012073791507943188e-01 1.083154855915834158e+00
8.600000000000000000e+04 5.250411750976229364e-01 2.395200646815595080e-01 3.006060786084384651e-01 1.077494058844021163e+00
8.700000000000000000e+04 5.238847493603245864e-01 2.375681533610922991e-01 2.985657035865693643e-01 1.079267230278846412e+00
8.800000000000000000e+04 5.205029967544034797e-01 2.379213508946474154e-01 2.987790133529545922e-01 1.068906358328806760e+00
8.900000000000000000e+04 5.245169632594521847e-01 2.413309619419534147e-01 3.038506897946722241e-01 1.071966699702747272e+00
9.000000000000000000e+04 5.231004408157211572e-01 2.382824087108830480e-01 2.993197705292737765e-01 1.076682691323122665e+00
9.100000000000000000e+04 5.196870362296522883e-01 2.366540937470599792e-01 2.971657347620881295e-01 1.069160253545802686e+00
9.200000000000000000e+04 5.195578961506488458e-01 2.385233985012295554e-01 2.988071503486483538e-01 1.068748195361920006e+00
9.300000000000000000e+04 5.199504907983265589e-01 2.374853995984897992e-01 2.980508351714212245e-01 1.070596082765958412e+00
9.400000000000000000e+04 5.183016703437711703e-01 2.352865223176980602e-01 2.955644240459033290e-01 1.069669512028827318e+00
9.500000000000000000e+04 5.233015272217736991e-01 2.397723591481206451e-01 3.013666177414356384e-01 1.077162666091223020e+00
9.600000000000000000e+04 5.157048868455174073e-01 2.368138017378527693e-01 2.981936775466541567e-01 1.058588523395159964e+00
9.700000000000000000e+04 5.195616943882666039e-01 2.377193828447241031e-01 2.993977320355018512e-01 1.071703996191552655e+00
9.800000000000000000e+04 5.149133121072105856e-01 2.384952987266283075e-01 3.007343188139933732e-01 1.057044290343767123e+00
9.900000000000000000e+04 5.162275023229503379e-01 2.377872403412729374e-01 2.989019622590772252e-01 1.062544297413581251e+00
1.000000000000000000e+05 5.163048982952771482e-01 2.392511517521775932e-01 3.009138596436582436e-01 1.060568303414965996e+00
1.010000000000000000e+05 5.125831758991068465e-01 2.365623462902294305e-01 2.980898045698154308e-01 1.053338857318366628e+00
1.020000000000000000e+05 5.131385993420496394e-01 2.364240553617963925e-01 2.987430416005907308e-01 1.053632235327780275e+00
1.030000000000000000e+05 5.099047027686105515e-01 2.371740499744115493e-01 2.981768952707722908e-01 1.049215339381473822e+00
1.040000000000000000e+05 5.099480246962216912e-01 2.355648410909616519e-01 2.975855641724111655e-01 1.048618075222198964e+00
1.050000000000000000e+05 5.101594599236095595e-01 2.360150998679534373e-01 2.988018363397764166e-01 1.047187731869482663e+00
1.060000000000000000e+05 5.122534448363490478e-01 2.363112293941072861e-01 3.000969329720754586e-01 1.051282816014575738e+00
1.070000000000000000e+05 5.106930297385197104e-01 2.368883861055345319e-01 2.985267796070543711e-01 1.053202019695329783e+00
1.080000000000000000e+05 5.098460227497625397e-01 2.384086001030550628e-01 3.014411955411597788e-01 1.046823887506478146e+00
1.090000000000000000e+05 5.072584320874821140e-01 2.379794051172913760e-01 3.017758418434544065e-01 1.038221738298148233e+00
1.100000000000000000e+05 5.073419382681505496e-01 2.356595471935202524e-01 2.979662197993833694e-01 1.044887685363234953e+00
1.110000000000000000e+05 5.089697307985033836e-01 2.372295871402420597e-01 3.007543485397414784e-01 1.046542794749499850e+00
1.120000000000000000e+05 5.080171438133572748e-01 2.380968530489536439e-01 3.011195844572092106e-01 1.043652515266188630e+00
1.130000000000000000e+05 5.086931750623938653e-01 2.385416508430344418e-01 3.031438584863850871e-01 1.041540919896353889e+00
1.140000000000000000e+05 5.086457246156330658e-01 2.392141171618702711e-01 3.023314509932874539e-01 1.046192703687963688e+00
1.150000000000000000e+05 5.055760330105090183e-01 2.396909301522620606e-01 3.035099800719980867e-01 1.034474272710956599e+00
1.160000000000000000e+05 5.053421386389467251e-01 2.383911573409270013e-01 3.020238743430242456e-01 1.038549654092709940e+00
1.170000000000000000e+05 5.067873955759597537e-01 2.410508326541398183e-01 3.048609646352110625e-01 1.041154436671943406e+00
1.180000000000000000e+05 5.060702442761918496e-01 2.392821660136154327e-01 3.030287443369326095e-01 1.042600078640899763e+00
1.190000000000000000e+05 5.078580582087879325e-01 2.418750289240440277e-01 3.055886432090727522e-01 1.048268988615264297e+00
1.200000000000000000e+05 5.064405999673829983e-01 2.405710757376504638e-01 3.043646952511147030e-01 1.044762669398201727e+00
1.210000000000000000e+05 5.070932362745712574e-01 2.400026183278415326e-01 3.039646457627038778e-01 1.049416848427707771e+00
1.220000000000000000e+05 5.077346980565942136e-01 2.415087456389852505e-01 3.065047192940524856e-01 1.045979682046680237e+00
1.230000000000000000e+05 5.055847854711064127e-01 2.399324498493061175e-01 3.038972214364611402e-01 1.045910220147690861e+00
1.240000000000000000e+05 5.073890584333794473e-01 2.417258160297890701e-01 3.073336819686358079e-01 1.047730987277485593e+00
1.250000000000000000e+05 5.067058710844832836e-01 2.409086704628884967e-01 3.054045150726039104e-01 1.050178997673126613e+00
1.260000000000000000e+05 5.049632506748461536e-01 2.393577365965398607e-01 3.049635204645516073e-01 1.042989807026330817e+00
1.270000000000000000e+05 5.063116800760676384e-01 2.416814069046073210e-01 3.074989158513377618e-01 1.045506043069144075e+00
1.280000000000000000e+05 5.031717485984763538e-01 2.383468218138977135e-01 3.040030928439867997e-01 1.044059164848370358e+00
1.290000000000000000e+05 5.023783573117436285e-01 2.390350381373554933e-01 3.039048290987351186e-01 1.043866773159289441e+00
1.300000000000000000e+05 5.124072459364067411e-01 2.506544642107183529e-01 3.180842171392894713e-01 1.049844359759307899e+00
1.310000000000000000e+05 5.030647924290375661e-01 2.401616933745233384e-01 3.053631611830491810e-01 1.045212819591207598e+00
1.320000000000000000e+05 5.088802245033373639e-01 2.452114098096731531e-01 3.102663335827590685e-01 1.061304800435174167e+00
1.330000000000000000e+05 5.023213287005554584e-01 2.401923985237209291e-01 3.057526734914746136e-01 1.045344712206975002e+00
1.340000000000000000e+05 4.998821995868991119e-01 2.388996911350200480e-01 3.050031711461345663e-01 1.036969801535828406e+00
1.350000000000000000e+05 4.998699241232938961e-01 2.391992208958166055e-01 3.045366511279452015e-01 1.041803159813116997e+00
1.360000000000000000e+05 4.997634633761530720e-01 2.397210465162401272e-01 3.055765844966325528e-01 1.040941183233444089e+00
1.370000000000000000e+05 4.982394342937633280e-01 2.389996079867713341e-01 3.043878588795308482e-01 1.037848853843728936e+00
1.380000000000000000e+05 4.974877685739037547e-01 2.387570284763321504e-01 3.045742352505224071e-01 1.036293108197286594e+00
1.390000000000000000e+05 5.068248274829172395e-01 2.422433435181101380e-01 3.091123761177211882e-01 1.055888781223203621e+00
1.400000000000000000e+05 4.998974475842920540e-01 2.394241957281923461e-01 3.060069965058202501e-01 1.038784928266706320e+00
1.410000000000000000e+05 4.990227519937707745e-01 2.390682456237360198e-01 3.059992298774689146e-01 1.035077331800625444e+00
1.420000000000000000e+05 5.013441907881990289e-01 2.393821564635191523e-01 3.068424086612566715e-01 1.043621068110583971e+00
1.430000000000000000e+05 4.958188559928197181e-01 2.370727641970248878e-01 3.032809326639536174e-01 1.033149860685842691e+00
1.440000000000000000e+05 4.967157905398275619e-01 2.382549271607622976e-01 3.040244851361122991e-01 1.034800411393530739e+00
1.450000000000000000e+05 4.941844578318274062e-01 2.385479361252527408e-01 3.046462923024483849e-01 1.027106211879332598e+00
1.460000000000000000e+05 4.988780336358424883e-01 2.398404227194962934e-01 3.061522915005325807e-01 1.039469734507799892e+00
1.470000000000000000e+05 4.975641737016346378e-01 2.383521208808733194e-01 3.041525209567106369e-01 1.039206103807742254e+00
1.480000000000000000e+05 4.945414371209734261e-01 2.367982872473186062e-01 3.026511999031888944e-01 1.030366980579166869e+00
1.490000000000000000e+05 4.941708612420943059e-01 2.364230985858147005e-01 3.022612106965313905e-01 1.030252086425888614e+00
1.500000000000000000e+05 4.989797603476916477e-01 2.432720396143815966e-01 3.097917744229429782e-01 1.034948607080140137e+00
