# step K_rel_l2 mu_rel_l2 E_rel_l2 nu_rel_l2
1.000000000000000000e+03 9.089029588820988215e-01 5.186831559499461841e-01 4.810107753565652788e-01 4.943347215152679164e-01
2.000000000000000000e+03 6.380196979905303767e-01 4.128218991831979490e-01 3.631138111726273654e-01 4.415206917260890984e-01
3.000000000000000000e+03 5.702271566282771653e-01 4.221794921161726721e-01 3.745980429186429594e-01 4.324453285017851312e-01
4.000000000000000000e+03 4.855395589199954509e-01 3.736113059008417392e-01 3.270106165721707869e-01 3.984353069809644654e-01
5.000000000000000000e+03 3.976689830411213600e-01 3.119401167749116244e-01 2.658642013662235737e-01 3.557108691336474116e-01
6.000000000000000000e+03 3.599032440251863640e-01 2.586506973983970226e-01 2.152199708992054428e-01 3.174036362955910962e-01
7.000000000000000000e+03 2.987114891733541611e-01 2.281555384493541283e-01 1.933971305078701630e-01 2.743773405240506058e-01
8.000000000000000000e+03 2.551085470254698118e-01 2.304752197375593836e-01 2.015091467264065184e-01 2.464716793638343229e-01
9.000000000000000000e+03 1.908162054835431942e-01 2.284888939210116821e-01 2.022623280009656077e-01 2.139561317587568290e-01
1.000000000000000000e+04 1.825608048300265962e-01 2.441671256247151256e-01 2.141662983195457837e-01 2.317872291632664394e-01
1.100000000000000000e+04 2.002581012554986439e-01 2.685697559166989601e-01 2.368642923856589810e-01 2.583036909765638600e-01
1.200000000000000000e+04 2.079775788381897084e-01 2.823150351840035266e-01 2.507557247317850346e-01 2.717090455076988653e-01
1.300000000000000000e+04 2.142701989175449795e-01 2.853041505471640704e-01 2.531170068449763999e-01 2.787739735304126110e-01
1.400000000000000000e+04 2.216947350921798232e-01 2.825726875960621887e-01 2.513176925247126992e-01 2.788808320468779689e-01
1.500000000000000000e+04 2.097292682282256571e-01 2.861286264900475551e-01 2.561578916483461255e-01 2.762103349569765554e-01
1.600000000000000000e+04 2.148656001875875188e-01 2.816603648984274400e-01 2.527012651337856575e-01 2.753748991585083239e-01
1.700000000000000000e+04 2.087409007437819874e-01 2.824296127877206630e-01 2.542382400075165472e-01 2.736343531818012931e-01
1.800000000000000000e+04 2.106902498689761927e-01 2.804018364917192363e-01 2.525450923174935580e-01 2.734686954382714585e-01
1.900000000000000000e+04 2.087317904781915978e-01 2.812643185205223051e-01 2.520273625129528239e-01 2.748642305757544313e-01
2.000000000000000000e+04 2.118108951069769819e-01 2.785863761458741150e-01 2.497553512069221604e-01 2.735791468115810754e-01
2.100000000000000000e+04 2.114414339282682798e-01 2.776749660653295981e-01 2.482358626017014958e-01 2.733445680292320157e-01
2.200000000000000000e+04 2.087443824615982380e-01 2.728841679304604417e-01 2.438683604638350599e-01 2.689372530345103263e-01
2.300000000000000000e+04 2.070156889232262487e-01 2.710425655208689166e-01 2.419129187461585562e-01 2.668981908767737443e-01
2.400000000000000000e+04 2.005252164444857321e-01 2.671959433640102022e-01 2.387397514569808699e-01 2.611935648147474254e-01
2.500000000000000000e+04 2.010535568018062824e-01 2.659003214884727018e-01 2.371777280713450453e-01 2.606328473498240594e-01
2.600000000000000000e+04 1.971411656295712911e-01 2.644691318161424554e-01 2.359068169922452218e-01 2.576305132291275557e-01
2.700000000000000000e+04 1.939190766209004935e-01 2.614300874663672003e-01 2.335530289941296911e-01 2.539018425328471995e-01
2.800000000000000000e+04 1.864214794190460489e-01 2.626630920338095532e-01 2.347539722897489245e-01 2.519926833981094294e-01
2.900000000000000000e+04 1.888485945419766943e-01 2.601687328906053809e-01 2.325621025961502608e-01 2.504624933947046106e-01
