# step K_rel_l2 mu_rel_l2 E_rel_l2 nu_rel_l2
1.000000000000000000e+03 1.241217676447332191e-01 8.222937282244130452e-01 6.098897066103619036e-01 5.443874283388366875e-01
2.000000000000000000e+03 2.907772185010335519e-01 1.028851771083476807e+00 6.161768603890579454e-01 8.811071902181383253e-01
3.000000000000000000e+03 3.603168390736056215e-01 8.256304329419129617e-01 4.678558328468748750e-01 8.542073551264085518e-01
4.000000000000000000e+03 4.410168652759358099e-01 6.607125761342631520e-01 3.314866925408780363e-01 8.858056425158544744e-01
5.000000000000000000e+03 3.844154457259146285e-01 7.854448996538268002e-01 4.411464887845135130e-01 8.852218225950937436e-01
6.000000000000000000e+03 4.984563742133507613e-01 7.004989130435197442e-01 3.040993808679912092e-01 1.088885501215329565e+00
7.000000000000000000e+03 4.392159776993656561e-01 7.894856148582979349e-01 3.934392701440263540e-01 1.012469376690168898e+00
8.000000000000000000e+03 4.847675258389972375e-01 6.935367044583491403e-01 3.142427110419868108e-01 1.005184917387695664e+00
9.000000000000000000e+03 5.284332214779573489e-01 6.229931108595836431e-01 2.419878144780374662e-01 1.057247112907557129e+00
1.000000000000000000e+04 5.120859920996362336e-01 5.401240052325853025e-01 2.107328354334014608e-01 9.870373588343698268e-01
1.100000000000000000e+04 5.529468268751965843e-01 4.276463923186081262e-01 1.738288832823741692e-01 1.045373609593206465e+00
1.200000000000000000e+04 5.441882560694422111e-01 3.625157073176487610e-01 1.854644166698825869e-01 1.014986539921844955e+00
1.300000000000000000e+04 5.591376239105891877e-01 3.059360972559758141e-01 2.200345537749433533e-01 1.029490478040639756e+00
1.400000000000000000e+04 5.550356373772684648e-01 2.943096499188702642e-01 2.391053507254825572e-01 1.019153713001039296e+00
1.500000000000000000e+04 5.750960568788504590e-01 2.924368418926445723e-01 2.614689255836973869e-01 1.060822662226393431e+00
1.600000000000000000e+04 5.712643507325315673e-01 2.989939956860515058e-01 2.619695778896410920e-01 1.050829343394810600e+00
1.700000000000000000e+04 5.766416643546626863e-01 3.056568364263609894e-01 2.716608766679273201e-01 1.061948655834816790e+00
1.800000000000000000e+04 5.773160992429614558e-01 3.189301160224432552e-01 2.779546843124330868e-01 1.066416624434328941e+00
1.900000000000000000e+04 5.972042769256170613e-01 3.140335426228886839e-01 2.963992230464699285e-01 1.096705489351946783e+00
2.000000000000000000e+04 5.773501732876771264e-01 3.195783391098656612e-01 2.885388955472828476e-01 1.048759935118243947e+00
2.100000000000000000e+04 6.062539909018097584e-01 3.218725112784355247e-01 3.043226146594920078e-01 1.126698581022254952e+00
2.200000000000000000e+04 5.892014453119499562e-01 3.263821644709873904e-01 2.954653427608252003e-01 1.092520390621400272e+00
2.300000000000000000e+04 5.926434742974570069e-01 3.275977115566711673e-01 2.946835475923402781e-01 1.117326942323340289e+00
