# step K_rel_l2 mu_rel_l2 E_rel_l2 nu_rel_l2
1.000000000000000000e+03 6.190040690684383007e-01 1.036094182554613496e+00 8.728356768566232216e-01 3.927206943222258384e-01
2.000000000000000000e+03 5.003312723765449554e-01 3.862898535466943728e-01 3.192327470482572704e-01 2.855280614867922173e-01
3.000000000000000000e+03 4.327303218262998352e-01 2.925874531517959065e-01 2.428879712458410223e-01 2.569417857518007664e-01
4.000000000000000000e+03 2.768050160957040151e-01 2.218494279539168779e-01 1.751278178099696103e-01 2.247275552107765861e-01
5.000000000000000000e+03 1.972576036313239967e-01 1.903135911293854787e-01 1.446100439491174450e-01 2.012989606907910622e-01
6.000000000000000000e+03 1.443207540107104281e-01 1.613521735182814609e-01 1.148337219372587148e-01 1.721524504017423463e-01
7.000000000000000000e+03 1.726358860792840400e-01 1.608379285075591525e-01 1.084147966351462627e-01 2.011876980272262749e-01
8.000000000000000000e+03 2.212857639852082448e-01 1.611740071108569428e-01 1.201028001829052005e-01 2.382319064694757849e-01
9.000000000000000000e+03 2.341846615054537784e-01 1.907081655442418588e-01 1.585408544635509842e-01 2.619291346460924652e-01
1.000000000000000000e+04 2.444366553049678870e-01 2.347491969263708622e-01 2.013508392227898458e-01 2.965848273114125022e-01
1.100000000000000000e+04 2.517139684867236160e-01 2.579068261520647831e-01 2.235812232176117575e-01 3.197409635207068002e-01
1.200000000000000000e+04 2.669199375547562925e-01 2.689838485615821395e-01 2.304568467052763026e-01 3.525549886739445804e-01
1.300000000000000000e+04 2.681854938149124123e-01 2.774222005705928029e-01 2.366472355617358081e-01 3.706390347901522553e-01
1.400000000000000000e+04 2.799802326502949801e-01 2.852665271716372519e-01 2.416377484662383668e-01 3.968566906759004032e-01
1.500000000000000000e+04 2.948380299367010515e-01 2.908475633888751855e-01 2.487386950138490982e-01 4.119724961785629636e-01
1.600000000000000000e+04 2.660182414489958291e-01 2.926840139277959718e-01 2.473671811172163670e-01 4.115117605793707223e-01
1.700000000000000000e+04 2.693743697127276016e-01 2.952185871014928464e-01 2.508246705904825791e-01 4.177608203519133090e-01
1.800000000000000000e+04 2.694507473169974743e-01 2.968907371249085991e-01 2.546206669707793968e-01 4.184223309728229423e-01
1.900000000000000000e+04 2.726167159886930813e-01 2.988236895613075039e-01 2.576686371193117053e-01 4.226310730193769127e-01
2.000000000000000000e+04 2.648035760682252993e-01 3.003570629084841848e-01 2.632581569127681598e-01 4.142015354710495423e-01
2.100000000000000000e+04 2.713920595915802481e-01 3.030554066909884603e-01 2.649815989952491457e-01 4.238698359732675502e-01
2.200000000000000000e+04 2.793034857912723989e-01 3.035948517091058840e-01 2.664775152021404137e-01 4.289110004544848254e-01
2.300000000000000000e+04 2.735764040267766872e-01 3.014861763239434778e-01 2.676764146481935280e-01 4.216171919976427485e-01
2.400000000000000000e+04 2.758740625509025213e-01 3.048654796520750554e-01 2.711950833518059212e-01 4.267426920325274042e-01
2.500000000000000000e+04 2.750264500460034012e-01 3.043739323115649542e-01 2.727167066443512145e-01 4.246461634817169650e-01
2.600000000000000000e+04 2.753546948418673646e-01 3.081178997654017149e-01 2.774152897024913522e-01 4.276602613111132878e-01
2.700000000000000000e+04 2.736974797317075492e-01 3.084843302467653592e-01 2.781598640994330518e-01 4.286126388049324443e-01
2.800000000000000000e+04 2.792077316704598133e-01 3.102159770166129094e-01 2.822482445148847829e-01 4.296407753554358222e-01
2.900000000000000000e+04 2.793506885268842166e-01 3.114227217632649647e-01 2.851049103440271848e-01 4.292934272276194840e-01
3.000000000000000000e+04 2.785643982930889884e-01 3.136174186689981713e-01 2.882378137967520626e-01 4.297342668991256942e-01
3.100000000000000000e+04 2.785229754842867833e-01 3.140643655291301406e-01 2.894453655393018354e-01 4.317003322503325524e-01
3.200000000000000000e+04 2.815747768397620088e-01 3.141259819023521360e-01 2.918616499152617560e-01 4.280057550612035300e-01
3.300000000000000000e+04 2.826026680141990322e-01 3.150082765537917662e-01 2.937735576371796609e-01 4.288410363281945914e-01
3.400000000000000000e+04 2.826888439705842471e-01 3.152265981131870398e-01 2.956186314782850988e-01 4.278266917120289725e-01
3.500000000000000000e+04 2.838809401133362553e-01 3.168569443860174695e-01 2.983149686636842879e-01 4.293807761450917360e-01
3.600000000000000000e+04 2.840053461570479221e-01 3.172281734669201159e-01 2.990850230518837805e-01 4.321862178474347727e-01
3.700000000000000000e+04 2.850382741248476126e-01 3.175158244859130341e-01 3.009305737912212897e-01 4.316012003077258630e-01
3.800000000000000000e+04 2.853200593185467038e-01 3.177627610069765907e-01 3.017892404128323380e-01 4.323240985579426265e-01
3.900000000000000000e+04 2.824599863923846210e-01 3.186504136039138291e-01 3.053686568674381374e-01 4.223390471603886143e-01
4.000000000000000000e+04 2.860230635593615234e-01 3.186282458403991713e-01 3.043211158364768631e-01 4.331596116221494985e-01
4.100000000000000000e+04 2.862319391048765427e-01 3.207658600191006237e-01 3.076040832662350066e-01 4.317687124289817380e-01
4.200000000000000000e+04 2.854817871753718705e-01 3.195341213398802394e-01 3.059155683018952576e-01 4.334267965461821581e-01
4.300000000000000000e+04 2.839342530572896983e-01 3.209979591526324616e-01 3.081316235486931676e-01 4.317205372409729236e-01
4.400000000000000000e+04 2.824668672576341466e-01 3.200295841021001397e-01 3.069711484744833130e-01 4.310582153298080921e-01
4.500000000000000000e+04 2.837952045323270389e-01 3.210755021660423036e-01 3.087053321219063173e-01 4.304102262131510592e-01
4.600000000000000000e+04 2.813445981354344427e-01 3.212884363406790511e-01 3.089219574664766044e-01 4.287253695175303747e-01
4.700000000000000000e+04 2.821286314454278243e-01 3.223021478531138961e-01 3.100832727899525687e-01 4.293775309840711096e-01
4.800000000000000000e+04 2.778242098564656648e-01 3.230937695807485355e-01 3.111256133592399942e-01 4.252409937702263942e-01
4.900000000000000000e+04 2.793957994794601940e-01 3.214484387240815755e-01 3.093894994094490425e-01 4.266567338983497382e-01
5.000000000000000000e+04 2.784570017482742021e-01 3.227304302217873233e-01 3.107729130524445882e-01 4.265966211537293162e-01
5.100000000000000000e+04 2.788902485478461091e-01 3.226054899982067625e-01 3.109602886387796139e-01 4.260078562256989776e-01
5.200000000000000000e+04 2.795447839738431917e-01 3.234463930487146421e-01 3.122239326971998352e-01 4.241084712068924345e-01
5.300000000000000000e+04 2.775102497368597265e-01 3.230827592971436957e-01 3.119622518244161147e-01 4.225617656518646514e-01
5.400000000000000000e+04 2.780573610945810126e-01 3.234887267059975979e-01 3.125128876069716011e-01 4.236065143361641971e-01
5.500000000000000000e+04 2.779467167813684525e-01 3.232631042098803587e-01 3.124302706656206241e-01 4.224461761069390198e-01
5.600000000000000000e+04 2.757364452459117321e-01 3.235631785970049523e-01 3.127800868735838291e-01 4.224540958451441508e-01
5.700000000000000000e+04 2.762908227973365216e-01 3.227812718254922664e-01 3.120857230476500876e-01 4.215782114325257734e-01
5.800000000000000000e+04 2.767188126158578454e-01 3.231362798735973874e-01 3.126138310660988573e-01 4.218123652533126711e-01
5.900000000000000000e+04 2.767492260402608095e-01 3.230794620999143940e-01 3.128128793044004374e-01 4.212387057771759813e-01
6.000000000000000000e+04 2.753191070067967372e-01 3.230062760971290081e-01 3.125708648063308392e-01 4.223049343368026065e-01
6.100000000000000000e+04 2.759187606515635105e-01 3.224496385506017693e-01 3.121466978930396707e-01 4.224522801002873473e-01
6.200000000000000000e+04 2.758768424204633418e-01 3.223084478549626541e-01 3.120532712584278556e-01 4.216451621950111361e-01
6.300000000000000000e+04 2.754651189673919531e-01 3.212497825910180516e-01 3.111565436160074749e-01 4.217895718604295907e-01
6.400000000000000000e+04 2.753210611725276369e-01 3.216226602705353765e-01 3.115190771101599698e-01 4.217475392986384519e-01
6.500000000000000000e+04 2.751616728098872922e-01 3.217813378871939856e-01 3.118661227664890623e-01 4.213550679794875187e-01
6.600000000000000000e+04 2.746717552041201826e-01 3.214444055453279381e-01 3.117491918618667257e-01 4.189747423708483076e-01
6.700000000000000000e+04 2.734676313089119959e-01 3.228830139114240438e-01 3.133322441885940668e-01 4.202298856613193023e-01
6.800000000000000000e+04 2.744102272777157459e-01 3.204651674074955325e-01 3.107459115287319884e-01 4.200624121729327198e-01
6.900000000000000000e+04 2.743711439630983628e-01 3.209713754999715118e-01 3.116411630575768865e-01 4.180003441415319210e-01
7.000000000000000000e+04 2.734314104342384089e-01 3.205878702472419461e-01 3.111189822028698759e-01 4.177079705867199899e-01
7.100000000000000000e+04 2.757027290061890290e-01 3.214128172183010612e-01 3.120752312865439637e-01 4.215354448462180770e-01
7.200000000000000000e+04 2.740918358808890898e-01 3.194955559080021601e-01 3.101939131797991633e-01 4.187013375548593874e-01
7.300000000000000000e+04 2.717485434584283044e-01 3.202476701474075704e-01 3.109112589586320308e-01 4.183793712221687833e-01
7.400000000000000000e+04 2.727564801236416758e-01 3.198394064761975186e-01 3.108131541794577624e-01 4.158720207392930801e-01
7.500000000000000000e+04 2.738376842420321422e-01 3.193294890368386652e-01 3.103009427687455357e-01 4.171096247071049423e-01
7.600000000000000000e+04 2.735769269725356612e-01 3.184927074828673432e-01 3.096640565344993545e-01 4.165254570905204679e-01
7.700000000000000000e+04 2.728561700993770156e-01 3.187689066293407092e-01 3.100032674341582917e-01 4.150144483067197410e-01
7.800000000000000000e+04 2.732792332183796025e-01 3.193454451162874297e-01 3.107707556556802975e-01 4.157921279655945046e-01
7.900000000000000000e+04 2.728354724567063627e-01 3.176274876027935790e-01 3.087831346620570350e-01 4.146485950345119020e-01
8.000000000000000000e+04 2.727362779032690421e-01 3.173136650807933945e-01 3.087767078906435425e-01 4.131253782640145200e-01
8.100000000000000000e+04 2.729366762227966037e-01 3.165915200090611559e-01 3.079809918356692933e-01 4.146944908832324028e-01
8.200000000000000000e+04 2.726514505964727220e-01 3.170011967647980433e-01 3.085233159633224975e-01 4.129750964024634929e-01
8.300000000000000000e+04 2.713784354783861374e-01 3.168219999832393996e-01 3.083390742796555672e-01 4.110183029398870036e-01
8.400000000000000000e+04 2.731177530727034730e-01 3.172325599168054899e-01 3.089910168723722372e-01 4.121461122931672216e-01
8.500000000000000000e+04 2.711467154602427154e-01 3.155266136217896866e-01 3.072275380478347029e-01 4.111256636836531642e-01
8.600000000000000000e+04 2.721817627345392565e-01 3.149582886886551636e-01 3.066599837327596556e-01 4.117685532615634747e-01
8.700000000000000000e+04 2.703290209574485403e-01 3.164178872478268789e-01 3.081762248881140809e-01 4.098083601064892445e-01
8.800000000000000000e+04 2.727293970380195165e-01 3.147261895551233257e-01 3.066362977872321149e-01 4.116210915994708563e-01
