# x, y
1.000000000000000000e+00 1.000000000000000000e+00 -8.742277657347585773e-08 -8.742277657347585773e-08 -3.496909073419374181e-07 -6.993820989009691402e-07 -3.141592741012573242e+00
5.000000000000000000e-01 1.000000000000000000e+00 8.742277657347585773e-08 1.000000000000000000e+00 4.000000000000000000e+00 8.000000000000000000e+00 1.570796251296997070e+00
7.500000000000000000e-01 1.000000000000000000e+00 -1.042506128623964246e-15 7.071067690849304199e-01 2.828425884246826172e+00 5.656853675842285156e+00 -1.110720753669738770e+00
2.500000000000000000e-01 1.000000000000000000e+00 3.821370930329410012e-15 7.071067690849304199e-01 2.828428268432617188e+00 5.656854629516601562e+00 1.110720872879028320e+00
8.750000000000000000e-01 1.000000000000000000e+00 -6.181726064369286178e-08 3.826832771301269531e-01 1.530732274055480957e+00 3.061465740203857422e+00 -2.561947822570800781e+00
3.750000000000000000e-01 1.000000000000000000e+00 6.181723932741078897e-08 9.238795042037963867e-01 3.695518732070922852e+00 7.391036510467529297e+00 1.711838483810424805e+00
6.250000000000000000e-01 1.000000000000000000e+00 6.181722511655607377e-08 9.238795042037963867e-01 3.695517301559448242e+00 7.391035556793212891e+00 5.096026659011840820e-01
1.250000000000000000e-01 1.000000000000000000e+00 -6.181723932741078897e-08 3.826834559440612793e-01 1.530734658241271973e+00 3.061468124389648438e+00 3.405058383941650391e-01
9.375000000000000000e-01 1.000000000000000000e+00 -8.076811752744106343e-08 1.950903087854385376e-01 7.803608179092407227e-01 1.560722231864929199e+00 -2.991840839385986328e+00
4.375000000000000000e-01 1.000000000000000000e+00 8.076812463286842103e-08 9.807853102684020996e-01 3.923141717910766602e+00 7.846282482147216797e+00 1.757673740386962891e+00
6.875000000000000000e-01 1.000000000000000000e+00 3.345522259223798756e-08 8.314695358276367188e-01 3.325877189636230469e+00 6.651755809783935547e+00 -2.715706825256347656e-01
1.875000000000000000e-01 1.000000000000000000e+00 -3.345525101394741796e-08 5.555702447891235352e-01 2.222281932830810547e+00 4.444562435150146484e+00 7.049515843391418457e-01
8.125000000000000000e-01 1.000000000000000000e+00 -3.345526167208845436e-08 5.555701851844787598e-01 2.222279787063598633e+00 4.444561004638671875e+00 -1.907187461853027344e+00
3.125000000000000000e-01 1.000000000000000000e+00 3.345525456666109676e-08 8.314696550369262695e-01 3.325879573822021484e+00 6.651757717132568359e+00 1.473805427551269531e+00
5.625000000000000000e-01 1.000000000000000000e+00 8.076811042201370583e-08 9.807852506637573242e-01 3.923140525817871094e+00 7.846282005310058594e+00 1.144779443740844727e+00
6.250000000000000000e-02 1.000000000000000000e+00 -8.076811042201370583e-08 1.950903236865997314e-01 7.803617119789123535e-01 1.560722827911376953e+00 8.938729763031005859e-02
9.687500000000000000e-01 1.000000000000000000e+00 -8.574297538643804728e-08 9.801708906888961792e-02 3.920681476593017578e-01 7.841365933418273926e-01 -3.103846549987792969e+00
4.687500000000000000e-01 1.000000000000000000e+00 8.574297538643804728e-08 9.951847195625305176e-01 3.980739116668701172e+00 7.961477756500244141e+00 1.694579005241394043e+00
7.187500000000000000e-01 1.000000000000000000e+00 1.705534380391782179e-08 7.730104327201843262e-01 3.092040538787841797e+00 6.184082984924316406e+00 -6.900553703308105469e-01
2.187500000000000000e-01 1.000000000000000000e+00 -1.705532959306310659e-08 6.343933343887329102e-01 2.537574529647827148e+00 5.075147151947021484e+00 9.077949523925781250e-01
8.437500000000000000e-01 1.000000000000000000e+00 -4.856950752696320706e-08 4.713966250419616699e-01 1.885585546493530273e+00 3.771172523498535156e+00 -2.258006811141967773e+00
3.437500000000000000e-01 1.000000000000000000e+00 4.856950397424952826e-08 8.819212913513183594e-01 3.527686119079589844e+00 7.055370807647705078e+00 1.613156080245971680e+00
5.937500000000000000e-01 1.000000000000000000e+00 7.268938162496851874e-08 9.569403529167175293e-01 3.827760696411132812e+00 7.655522346496582031e+00 8.500912189483642578e-01
9.375000000000000000e-02 1.000000000000000000e+00 -7.268938162496851874e-08 2.902846634387969971e-01 1.161139249801635742e+00 2.322277545928955078e+00 1.970890760421752930e-01
9.062500000000000000e-01 1.000000000000000000e+00 -7.268938162496851874e-08 2.902846932411193848e-01 1.161138176918029785e+00 2.322277307510375977e+00 -2.809227943420410156e+00
4.062500000000000000e-01 1.000000000000000000e+00 7.268938873039587634e-08 9.569403529167175293e-01 3.827762126922607422e+00 7.655523300170898438e+00 1.762047529220581055e+00
6.562500000000000000e-01 1.000000000000000000e+00 4.856947199982641905e-08 8.819212317466735840e-01 3.527683973312377930e+00 7.055369377136230469e+00 1.322188973426818848e-01
1.562500000000000000e-01 1.000000000000000000e+00 -4.856948976339481305e-08 4.713967442512512207e-01 1.885587930679321289e+00 3.771174430847167969e+00 5.126309990882873535e-01
7.812500000000000000e-01 1.000000000000000000e+00 -1.705534558027466119e-08 6.343932747840881348e-01 2.537571907043457031e+00 5.075145721435546875e+00 -1.520689249038696289e+00
2.812500000000000000e-01 1.000000000000000000e+00 1.705533847484730359e-08 7.730104327201843262e-01 3.092042922973632812e+00 6.184083938598632812e+00 1.302949786186218262e+00
5.312500000000000000e-01 1.000000000000000000e+00 8.574296828101068968e-08 9.951847195625305176e-01 3.980738639831542969e+00 7.961477756500244141e+00 1.386648774147033691e+00
3.125000000000000000e-02 1.000000000000000000e+00 -8.574296828101068968e-08 9.801714122295379639e-02 3.920687735080718994e-01 7.841372489929199219e-01 2.261865139007568359e-02
9.843750000000000000e-01 1.000000000000000000e+00 -8.700181552967478638e-08 4.906748980283737183e-02 1.962698549032211304e-01 3.925398588180541992e-01 -3.132136821746826172e+00
4.843750000000000000e-01 1.000000000000000000e+00 8.700180842424742877e-08 9.987954497337341309e-01 3.995181798934936523e+00 7.990363597869873047e+00 1.640307784080505371e+00
7.343750000000000000e-01 1.000000000000000000e+00 8.568911802342427109e-09 7.409510612487792969e-01 2.963803052902221680e+00 5.927608013153076172e+00 -9.009178876876831055e-01
2.343750000000000000e-01 1.000000000000000000e+00 -8.568929565910821111e-09 6.715589761734008789e-01 2.686237096786499023e+00 5.372472286224365234e+00 1.009918332099914551e+00
8.593750000000000000e-01 1.000000000000000000e+00 -5.546042558535191347e-08 4.275550544261932373e-01 1.710219383239746094e+00 3.420439958572387695e+00 -2.416485786437988281e+00
3.593750000000000000e-01 1.000000000000000000e+00 5.546042203263823467e-08 9.039892554283142090e-01 3.615957975387573242e+00 7.231914520263671875e+00 1.668104648590087891e+00
