# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.818205688476562500e+03 2.624010925292968750e+02 2.706033550202846527e-02 3.148854151368141174e-02 2.416440285742282867e-03 6.574781984090805054e-02 3.630822058767080307e-03 8.808799088001251221e-03 4.588808224070817232e-04 1.111389882862567902e-02 3.576407674700021744e-03 7.568097114562988281e-02 3.333467102050781250e+01 2.769222557544708252e-01 9.217813611030578613e-02 1.782312255859375000e+03 2.614104309082031250e+02 2.230559661984443665e-02 2.748273126780986786e-02 1.626577693969011307e-03 6.574781984090805054e-02 3.630822058767080307e-03 8.808799088001251221e-03 4.588808224070817232e-04 1.111389882862567902e-02 3.576407674700021744e-03 7.568097114562988281e-02 3.333467102050781250e+01 2.769222557544708252e-01 9.217813611030578613e-02
1.000000000000000000e+03 3.856546878814697266e-01 7.678911089897155762e-02 3.471690416336059570e-02 3.039180114865303040e-02 2.438348159193992615e-02 1.723285764455795288e-02 1.164789428003132343e-03 7.861890830099582672e-03 9.635551832616329193e-03 2.058705780655145645e-03 4.517833888530731201e-02 4.359334334731101990e-02 5.190392490476369858e-03 1.354424934834241867e-02 2.626992762088775635e-03 4.624028801918029785e-01 6.563648581504821777e-02 4.179316386580467224e-02 3.193941339850425720e-02 2.531072683632373810e-02 1.723285764455795288e-02 1.164789428003132343e-03 7.861890830099582672e-03 9.635551832616329193e-03 2.058705780655145645e-03 4.517833888530731201e-02 4.359334334731101990e-02 5.190392490476369858e-03 1.354424934834241867e-02 2.626992762088775635e-03
2.000000000000000000e+03 7.687128335237503052e-02 1.149796415120363235e-02 1.664074510335922241e-02 1.402166578918695450e-02 1.507961750030517578e-02 2.400220371782779694e-03 3.323128039482980967e-04 1.524177147075533867e-03 1.745267421938478947e-03 2.703559002839028835e-04 1.983457058668136597e-02 2.853957377374172211e-02 3.010863438248634338e-03 1.114550232887268066e-02 1.191779272630810738e-03 9.441078454256057739e-02 1.248554885387420654e-02 1.979995146393775940e-02 1.547349989414215088e-02 1.932086050510406494e-02 2.400220371782779694e-03 3.323128039482980967e-04 1.524177147075533867e-03 1.745267421938478947e-03 2.703559002839028835e-04 1.983457058668136597e-02 2.853957377374172211e-02 3.010863438248634338e-03 1.114550232887268066e-02 1.191779272630810738e-03
3.000000000000000000e+03 2.741691097617149353e-02 5.427719559520483017e-03 3.054202068597078323e-03 3.315595909953117371e-03 4.463134799152612686e-03 1.231767004355788231e-03 2.835741033777594566e-04 1.799521269276738167e-04 2.387401473242789507e-04 2.372079870838206261e-05 2.613423159345984459e-03 1.043191365897655487e-02 8.628431241959333420e-04 6.941000930964946747e-03 7.871730485931038857e-04 3.312186524271965027e-02 6.130130030214786530e-03 4.282952286303043365e-03 3.854064038023352623e-03 5.598238203674554825e-03 1.231767004355788231e-03 2.835741033777594566e-04 1.799521269276738167e-04 2.387401473242789507e-04 2.372079870838206261e-05 2.613423159345984459e-03 1.043191365897655487e-02 8.628431241959333420e-04 6.941000930964946747e-03 7.871730485931038857e-04
4.000000000000000000e+03 1.260730810463428497e-02 3.107452299445867538e-03 1.503952080383896828e-03 1.780026825144886971e-03 1.619246904738247395e-03 1.186657580547034740e-03 2.942785795312374830e-04 6.262461829464882612e-05 8.836699271341785789e-05 9.418402623850852251e-05 5.020739627070724964e-04 4.619146231561899185e-03 4.054012824781239033e-04 2.559712156653404236e-03 2.769767306745052338e-04 1.630802452564239502e-02 3.866126760840415955e-03 1.806494081392884254e-03 2.042787382379174232e-03 1.956371357664465904e-03 1.186657580547034740e-03 2.942785795312374830e-04 6.262461829464882612e-05 8.836699271341785789e-05 9.418402623850852251e-05 5.020739627070724964e-04 4.619146231561899185e-03 4.054012824781239033e-04 2.559712156653404236e-03 2.769767306745052338e-04
5.000000000000000000e+03 7.399132475256919861e-03 1.992495264858007431e-03 8.883533300831913948e-04 1.207542489282786846e-03 9.650389547459781170e-04 1.110087847337126732e-03 2.728032704908400774e-04 3.533807830535806715e-05 7.872180867707356811e-05 9.340899850940331817e-05 1.999040978262200952e-04 2.973382361233234406e-03 1.600268878974020481e-04 4.482737567741423845e-04 3.424357055337168276e-05 9.641950018703937531e-03 2.542444271966814995e-03 9.519922896288335323e-04 1.457823673263192177e-03 1.061468152329325676e-03 1.110087847337126732e-03 2.728032704908400774e-04 3.533807830535806715e-05 7.872180867707356811e-05 9.340899850940331817e-05 1.999040978262200952e-04 2.973382361233234406e-03 1.600268878974020481e-04 4.482737567741423845e-04 3.424357055337168276e-05
6.000000000000000000e+03 4.821859300136566162e-02 1.018786896020174026e-02 9.957536123692989349e-03 3.539711702615022659e-03 1.010425388813018799e-03 8.445713901892304420e-04 2.171473315684124827e-04 2.304877853021025658e-05 5.455131395137868822e-05 9.178875916404649615e-05 1.381595066050067544e-04 8.412340655922889709e-03 6.402246654033660889e-04 8.281882765004411340e-05 2.493346983101218939e-05 6.302700936794281006e-02 8.423884399235248566e-03 8.236682973802089691e-03 3.512640716508030891e-03 1.026334939524531364e-03 8.445713901892304420e-04 2.171473315684124827e-04 2.304877853021025658e-05 5.455131395137868822e-05 9.178875916404649615e-05 1.381595066050067544e-04 8.412340655922889709e-03 6.402246654033660889e-04 8.281882765004411340e-05 2.493346983101218939e-05
7.000000000000000000e+03 6.466229911893606186e-03 1.626041601411998272e-03 1.030704472213983536e-03 9.925606427714228630e-04 6.268942379392683506e-04 8.903405396267771721e-04 1.784074411261826754e-04 1.356101347482763231e-05 5.665269054588861763e-05 3.374053267179988325e-05 9.865110769169405103e-05 1.907748985104262829e-03 9.212900476995855570e-05 7.425587682519108057e-05 1.885566598502919078e-05 9.155885316431522369e-03 1.847209874540567398e-03 1.031982130371034145e-03 1.009862753562629223e-03 6.509109516628086567e-04 8.903405396267771721e-04 1.784074411261826754e-04 1.356101347482763231e-05 5.665269054588861763e-05 3.374053267179988325e-05 9.865110769169405103e-05 1.907748985104262829e-03 9.212900476995855570e-05 7.425587682519108057e-05 1.885566598502919078e-05
8.000000000000000000e+03 3.205019515007734299e-03 9.253480820916593075e-04 6.473077228292822838e-04 6.550355465151369572e-04 5.392299499362707138e-04 7.121147937141358852e-04 1.398817694280296564e-04 1.273155066883191466e-05 4.420916957315057516e-05 2.442328332108445466e-05 7.252889190567657351e-05 1.282318145968019962e-03 8.373319724341854453e-05 5.447879448183812201e-05 2.432980181765742600e-05 4.533478990197181702e-03 1.205134205520153046e-03 6.795930094085633755e-04 7.415609434247016907e-04 5.595109541900455952e-04 7.121147937141358852e-04 1.398817694280296564e-04 1.273155066883191466e-05 4.420916957315057516e-05 2.442328332108445466e-05 7.252889190567657351e-05 1.282318145968019962e-03 8.373319724341854453e-05 5.447879448183812201e-05 2.432980181765742600e-05
9.000000000000000000e+03 5.399079993367195129e-03 1.013795495964586735e-03 1.088231685571372509e-03 8.156449184753000736e-04 4.870827542617917061e-04 6.587003008462488651e-04 1.157188744400627911e-04 1.655580854276195168e-05 3.422988811507821083e-05 1.970695848285686225e-05 3.171646094415336847e-04 1.114286016672849655e-03 7.491985888918861747e-05 6.459719588747248054e-05 1.990943019336555153e-05 6.498952396214008331e-03 1.092166290618479252e-03 1.065063872374594212e-03 8.116443641483783722e-04 5.035553476773202419e-04 6.587003008462488651e-04 1.157188744400627911e-04 1.655580854276195168e-05 3.422988811507821083e-05 1.970695848285686225e-05 3.171646094415336847e-04 1.114286016672849655e-03 7.491985888918861747e-05 6.459719588747248054e-05 1.990943019336555153e-05
