# step train_loss_terms
1.000000000000000000e+03 1.109896111302077770e-03 1.316789886914193630e-03 4.800367460120469332e-04 4.295849357731640339e-04 1.503322127973660827e-04 4.175495269009843469e-05 1.200165115733398125e-05 7.616655784659087658e-05 4.245483069098554552e-05 1.638598769204691052e-04 8.176610572263598442e-05 3.010941100001218729e-06 5.136600520927459002e-06
2.000000000000000000e+03 4.186223668511956930e-04 6.073928088881075382e-04 2.978566335514187813e-04 2.440868411213159561e-04 9.448540367884561419e-05 4.835324580199085176e-05 1.430393331247614697e-05 2.912443233071826398e-05 3.082857801928184927e-05 2.201725001214072108e-04 4.060263745486736298e-05 4.535100015345960855e-05 1.310029165324522182e-05
3.000000000000000000e+03 3.613805456552654505e-04 4.432501445990055799e-04 1.215633092215284705e-04 1.902783697005361319e-04 3.729103264049626887e-05 4.123317921767011285e-05 1.436580259905895218e-05 7.985509000718593597e-05 1.956845881068147719e-05 1.659733534324914217e-04 4.247840843163430691e-05 9.483673784416168928e-05 2.125926403095945716e-05
4.000000000000000000e+03 2.998065901920199394e-04 2.935109077952802181e-04 5.291386332828551531e-05 1.003195138764567673e-04 1.887622056528925896e-05 3.769710383494384587e-05 9.654851055529434234e-06 1.921955299621913582e-05 8.773861736699473113e-06 5.509496986633166671e-05 2.600898005766794086e-05 2.953354965029575396e-07 7.521183675862630480e-11
5.000000000000000000e+03 2.358315105084329844e-04 2.085124870063737035e-04 4.554448969429358840e-05 8.619583240943029523e-05 8.453397640550974756e-06 3.370824197190813720e-05 7.472648576367646456e-06 3.520157179082161747e-06 5.257295470073586330e-06 5.172289093025028706e-05 1.568077823321800679e-05 2.693248461582697928e-06 4.043526132591068745e-06
6.000000000000000000e+03 1.969596778508275747e-04 1.920215290738269687e-04 5.400781083153560758e-05 7.807552174199372530e-05 4.281850124243646860e-05 2.757760194072034210e-05 2.419926568109076470e-05 1.164903096650959924e-05 5.935490662523079664e-06 4.538637585937976837e-05 9.003671584650874138e-05 7.078459748299792409e-05 1.073269959306344390e-05
7.000000000000000000e+03 1.530403678771108389e-04 1.564981939736753702e-04 3.249209476052783430e-05 2.548951306380331516e-05 5.808865353174041957e-06 1.897788934002164751e-05 5.316332590155070648e-06 1.758681264618644491e-06 2.692863063202821650e-06 2.179623152187559754e-05 9.518242222839035094e-06 2.021405180130386725e-06 2.703864538489142433e-06
8.000000000000000000e+03 9.887757914839312434e-05 1.000819538603536785e-04 2.360986218263860792e-05 1.031614192470442504e-05 3.106237272731959820e-06 1.392610556649742648e-05 3.285244702055933885e-06 4.710263965534977615e-07 1.429920416740060318e-06 1.041255200107116252e-05 5.899803454667562619e-06 2.418614752919268085e-10 1.901512547419770272e-08
9.000000000000000000e+03 6.130708788987249136e-05 5.452565164887346327e-05 2.230148857051972300e-05 8.088464710453990847e-06 2.427649405944976024e-06 1.017528575175674632e-05 2.231466396551695652e-06 5.351486151994322427e-07 1.038923869600694161e-06 6.986822882026899606e-06 4.764957793668145314e-06 1.179224773384390801e-10 2.999176018647631281e-08
1.000000000000000000e+04 4.424455255502834916e-05 3.936093708034604788e-05 1.817141856008674949e-05 7.417897904815617949e-06 2.553128751969779842e-06 7.320680197153706104e-06 1.645169845687632915e-06 3.039812952465581475e-07 1.377927901557995938e-06 9.192226571030914783e-06 4.200576313451165333e-06 2.178566376187518472e-07 2.161336709605166106e-08
1.100000000000000000e+04 3.337128873681649566e-05 3.242425373173318803e-05 1.309876370214624330e-05 6.116847544035408646e-06 2.697443960641976446e-06 6.667779416602570564e-06 1.060904537553142291e-06 4.032239644402579870e-07 1.194135052173805889e-06 8.113546755339484662e-06 3.863463916786713526e-06 2.171220927493777708e-07 2.212479870422612294e-07
1.200000000000000000e+04 2.730763299041427672e-05 2.876929283956997097e-05 1.017897011479362845e-05 5.277649052004562691e-06 2.071267772407736629e-06 5.854572009411640465e-06 1.061136458702094387e-06 3.135474457849340979e-07 1.270584334633895196e-06 5.865399089088896289e-06 2.512708988433587365e-06 5.105923461812267306e-10 7.781864042044617236e-11
1.300000000000000000e+04 2.263106944155879319e-05 2.531953214202076197e-05 7.827885383449029177e-06 4.381291091704042628e-06 1.891361534944735467e-06 5.583387519436655566e-06 8.972270961749018170e-07 4.551215226911153877e-07 1.125139192481583450e-06 4.386031378089683130e-06 2.256959305668715388e-06 3.656306812871434886e-09 1.202806743094697595e-08
