# step K_rel_l2 mu_rel_l2 E_rel_l2 nu_rel_l2
1.000000000000000000e+03 1.286852675720710215e-01 5.492058994865232080e-01 4.262564542498151754e-01 3.850970770602265558e-01
2.000000000000000000e+03 2.065500745335204780e-01 9.056144909932994924e-01 5.917918274721805094e-01 7.124905552291640465e-01
3.000000000000000000e+03 2.792476406889071727e-01 9.404520881325527659e-01 5.918346120564315083e-01 7.765818672608895135e-01
4.000000000000000000e+03 4.027897229598277895e-01 7.550869571001913583e-01 4.044756944501025631e-01 8.556221680656689310e-01
5.000000000000000000e+03 4.068383139788120939e-01 7.386026784309751569e-01 3.932009572846154044e-01 8.789691699657068424e-01
6.000000000000000000e+03 4.236947273855991014e-01 7.290620616125149667e-01 3.739927682243529561e-01 9.282786190169413088e-01
7.000000000000000000e+03 4.396795553529575518e-01 7.172373114134775740e-01 3.490997932714126062e-01 9.556055791115781739e-01
8.000000000000000000e+03 4.450776491881423547e-01 6.749323279707120093e-01 3.036800283559002445e-01 9.469624790617972021e-01
9.000000000000000000e+03 4.389248620523881761e-01 6.684681139242051318e-01 2.925192017395655264e-01 9.503733750917052747e-01
1.000000000000000000e+04 4.179203327916475308e-01 5.982599512649959816e-01 2.759059067979032220e-01 8.638511237566253165e-01
1.100000000000000000e+04 4.292056398874153356e-01 4.960101558384330533e-01 2.233742266754418782e-01 8.227108267146812093e-01
1.200000000000000000e+04 4.310352619572675459e-01 4.699601486611444945e-01 2.086765865132353959e-01 8.232441921081449232e-01
1.300000000000000000e+04 4.361935714002364572e-01 4.256731080946726253e-01 1.948477640921518206e-01 8.084206828945557088e-01
1.400000000000000000e+04 4.825139048524684782e-01 3.767835923457927283e-01 1.855544936621499330e-01 8.537839388789536521e-01
1.500000000000000000e+04 4.621650394796258388e-01 3.621725927309777937e-01 1.906462906673741242e-01 8.142971286427641564e-01
1.600000000000000000e+04 4.768733568493509489e-01 3.421146821719299180e-01 1.973266356837146129e-01 8.266445799976052111e-01
1.700000000000000000e+04 5.071317691199687117e-01 3.076335944830916325e-01 2.254221866501452676e-01 8.487035620354036469e-01
1.800000000000000000e+04 4.913208619026575574e-01 3.074936402364134569e-01 2.295768105009793059e-01 8.253065692025000066e-01
1.900000000000000000e+04 5.012108120962019964e-01 3.072863289606230786e-01 2.416559387273769510e-01 8.300645933846665381e-01
2.000000000000000000e+04 4.953734163000256263e-01 3.148750050193551142e-01 2.533429884786717046e-01 8.147417929683303806e-01
2.100000000000000000e+04 4.988068579657012336e-01 3.198874513501097638e-01 2.688338012386145559e-01 8.072298633314580751e-01
2.200000000000000000e+04 4.960396491969469301e-01 3.252894968606159232e-01 2.815094610250470919e-01 7.935246984181721919e-01
2.300000000000000000e+04 4.920706009802472414e-01 3.304282081816950489e-01 2.871147638790420564e-01 7.880027478785993633e-01
2.400000000000000000e+04 4.932434857472225431e-01 3.308561078399758215e-01 2.892179532109102613e-01 7.923020453707768640e-01
2.500000000000000000e+04 5.081807983124523309e-01 3.304440759433608932e-01 2.857752475828390648e-01 8.365687459931530068e-01
2.600000000000000000e+04 5.044819754358325081e-01 3.231988088639096146e-01 2.748646789911572963e-01 8.414165529635572183e-01
2.700000000000000000e+04 5.130216246328074270e-01 3.188662622653871126e-01 2.690011698086410830e-01 8.753463340148556204e-01
2.800000000000000000e+04 5.256230761100459947e-01 3.068087947083373845e-01 2.710955932968145410e-01 8.996239244704312688e-01
2.900000000000000000e+04 5.282823929116875483e-01 3.073288981319938218e-01 2.669065873543902678e-01 9.215873287895980370e-01
3.000000000000000000e+04 5.327820384095095507e-01 3.039494181682964036e-01 2.645111502440049001e-01 9.414330337455815156e-01
3.100000000000000000e+04 5.334578494708582808e-01 3.018393591378681351e-01 2.612657669368239066e-01 9.570091112530048072e-01
3.200000000000000000e+04 5.385355977434855834e-01 2.910060938092289828e-01 2.648058733514410679e-01 9.627771531699761409e-01
3.300000000000000000e+04 5.369074749316007367e-01 2.915191906887732443e-01 2.700830929311926476e-01 9.618344338934802229e-01
3.400000000000000000e+04 5.410932979271219079e-01 3.006440662637355765e-01 2.617071703147894612e-01 1.003125862720099848e+00
3.500000000000000000e+04 5.515607453793295312e-01 2.962136635617301228e-01 2.733277949551848884e-01 1.019534324029317318e+00
3.600000000000000000e+04 5.405831781009821091e-01 2.958323662535737308e-01 2.641291320506553020e-01 1.012968667892915731e+00
3.700000000000000000e+04 5.384803856807232059e-01 2.928154602280521601e-01 2.697916172736226637e-01 1.002440670150313240e+00
3.800000000000000000e+04 5.442275045248256005e-01 2.942041984860555570e-01 2.708908449891674342e-01 1.030070357408732651e+00
3.900000000000000000e+04 5.384290819494227387e-01 2.915183369502049593e-01 2.720656951386590805e-01 1.021518817259176926e+00
4.000000000000000000e+04 5.393493013444349282e-01 2.889900048998348958e-01 2.756590551891937579e-01 1.025135858279634382e+00
4.100000000000000000e+04 5.384847343875609482e-01 2.856080225989545140e-01 2.804050555572681347e-01 1.023389266258882824e+00
4.200000000000000000e+04 5.383181624016001310e-01 2.870726847110141033e-01 2.797683055796597040e-01 1.038801463134763736e+00
4.300000000000000000e+04 5.368609602825139548e-01 2.838902122817655305e-01 2.814862519777517336e-01 1.041708277486132594e+00
4.400000000000000000e+04 5.377518396681021384e-01 2.814888517639834165e-01 2.857860345666603519e-01 1.047282845993682932e+00
4.500000000000000000e+04 5.364159609650958060e-01 2.794592207945405526e-01 2.846743620782017925e-01 1.052295847113185356e+00
4.600000000000000000e+04 5.386269756339994164e-01 2.774054201918367268e-01 2.880837529583449852e-01 1.060627334439246283e+00
4.700000000000000000e+04 5.437265775346592500e-01 2.788555981874962231e-01 2.901334615598994415e-01 1.078139459558435487e+00
4.800000000000000000e+04 5.404865157059566272e-01 2.759062847051746981e-01 2.952696101007086793e-01 1.069861826452169540e+00
4.900000000000000000e+04 5.352271125907415161e-01 2.733961166788266284e-01 2.914841736098368608e-01 1.066773823943814925e+00
5.000000000000000000e+04 5.351112938668612928e-01 2.700970942153755883e-01 2.938340328748975105e-01 1.064013891761499631e+00
5.100000000000000000e+04 5.315303814971575891e-01 2.707902416150468339e-01 2.935345634945800142e-01 1.065092212409215033e+00
5.200000000000000000e+04 5.318366075242230151e-01 2.714346670378033344e-01 2.974957710481391238e-01 1.067421388098909851e+00
5.300000000000000000e+04 5.314295355360603157e-01 2.746943292093299571e-01 2.994082919249269059e-01 1.068974120381547266e+00
5.400000000000000000e+04 5.259986062119047512e-01 2.693077393108360140e-01 2.966825233057753808e-01 1.060094200842998324e+00
5.500000000000000000e+04 5.231931398323629301e-01 2.648516655732597869e-01 2.980273309014107030e-01 1.052916600056990504e+00
5.600000000000000000e+04 5.219747312608967738e-01 2.687587854114234509e-01 2.991366188987087393e-01 1.055717405815018495e+00
5.700000000000000000e+04 5.145686633285916356e-01 2.618346123514333490e-01 2.970908617396488816e-01 1.036835900010857792e+00
5.800000000000000000e+04 5.130530013783453080e-01 2.577298961936012600e-01 2.952482859369020551e-01 1.034684667317127937e+00
5.900000000000000000e+04 5.080138409980374803e-01 2.552628566845824842e-01 2.925804490982305550e-01 1.032150042028531223e+00
6.000000000000000000e+04 5.072726341933572192e-01 2.535118094417520007e-01 2.931290410312198946e-01 1.030165857861625733e+00
6.100000000000000000e+04 5.016345082548074874e-01 2.499048228692349050e-01 2.905868555219862648e-01 1.024962164899291484e+00
6.200000000000000000e+04 5.023402097948002076e-01 2.488657641531000497e-01 2.909642409896526227e-01 1.024170500141732498e+00
6.300000000000000000e+04 5.013403925505812708e-01 2.509608091604307867e-01 2.939168087823258446e-01 1.021924385121018464e+00
6.400000000000000000e+04 4.944745551107479486e-01 2.498289284544397415e-01 2.944244555956737064e-01 1.012106382250288705e+00
6.500000000000000000e+04 4.966167611271561921e-01 2.482203672347313150e-01 2.943486514862098113e-01 1.009441100597741947e+00
6.600000000000000000e+04 4.918169998106102225e-01 2.472139566590184356e-01 2.921594160876074819e-01 1.008833791892450815e+00
6.700000000000000000e+04 4.902463459852896555e-01 2.473321258525746080e-01 2.930319127579494309e-01 1.004209591969516424e+00
6.800000000000000000e+04 4.909256250027240753e-01 2.504950506125352971e-01 2.963105881036187106e-01 1.004750529405361581e+00
6.900000000000000000e+04 4.915444624998065448e-01 2.487516575775585159e-01 2.948683797214374236e-01 1.009294682023120115e+00
7.000000000000000000e+04 4.960380528362089980e-01 2.559773475484610206e-01 3.030096229887694892e-01 1.013953342465464313e+00
7.100000000000000000e+04 4.890458276634722101e-01 2.528454812088296033e-01 2.991305327688896232e-01 1.001400673308936895e+00
