# step train_loss_terms
1.000000000000000000e+03 9.217684855684638023e-04 2.620302140712738037e-03 1.576708746142685413e-04 2.497018722351640463e-04 4.967637360095977783e-04 1.106968466046964750e-05 1.499029167462140322e-05 1.337379217147827148e-06 6.623044464504346251e-05 4.289213393349200487e-05
2.000000000000000000e+03 7.972324965521693230e-04 6.790002225898206234e-04 1.486203254899010062e-04 1.830238907132297754e-04 1.175695942947641015e-04 1.375772990286350250e-05 6.457431481976527721e-06 2.435257329125306569e-06 6.059370571165345609e-05 2.580994078016374260e-05
3.000000000000000000e+03 6.954761338420212269e-04 5.041393451392650604e-04 6.535571446875110269e-05 1.410746917827054858e-04 3.106870644842274487e-05 1.299203449889319018e-05 7.282885690074181184e-06 4.865306436840910465e-06 4.025784073746763170e-05 1.404293561790836975e-05
4.000000000000000000e+03 6.419240962713956833e-04 4.294046666473150253e-04 2.671487345651257783e-05 1.188307287520729005e-04 1.751418676576577127e-05 7.976281267474405468e-06 8.723623068362940103e-06 6.306091563601512462e-06 2.615351513668429106e-05 8.399783837376162410e-06
5.000000000000000000e+03 5.932986969128251076e-04 3.775805525947362185e-04 2.099018092849291861e-05 1.058958514477126300e-04 1.332488864136394113e-05 1.980866500161937438e-06 7.982122951943892986e-06 5.922639502387028188e-06 1.701339351711794734e-05 8.853254257701337337e-06
6.000000000000000000e+03 5.156018305569887161e-04 3.234516480006277561e-04 2.084983134409412742e-05 9.182312351185828447e-05 1.272149347641970962e-05 8.346987669938243926e-07 6.633925750065827742e-06 5.174123543838504702e-06 9.838472578849177808e-06 9.857713848759885877e-06
7.000000000000000000e+03 4.408660170156508684e-04 3.578934120014309883e-04 2.500146911188494414e-05 8.549810445401817560e-05 2.656184733496047556e-05 9.215113436766841915e-07 5.209724804444704205e-06 5.820726983074564487e-06 1.236509979207767174e-05 1.286518727283691987e-05
8.000000000000000000e+03 3.638977359514683485e-04 2.403537073405459523e-04 1.215411157318158075e-05 5.379542562877759337e-05 1.984673872357234359e-05 2.232184215245069936e-06 3.928245405404595658e-06 4.580399945552926511e-06 7.710079444223083556e-06 1.009301831800257787e-05
9.000000000000000000e+03 3.128182725049555302e-04 1.899754861369729042e-04 1.033830722008133307e-05 4.432879723026417196e-05 1.363804494758369401e-05 2.101222435157978907e-06 1.229760869136953261e-06 1.394338710269948933e-06 3.565873612387804314e-06 9.508468792773783207e-06
1.000000000000000000e+04 4.028014373034238815e-04 2.117711701430380344e-04 5.575462710112333298e-04 5.904366262257099152e-04 4.105096377315931022e-05 4.174396963207982481e-05 9.292997674492653459e-06 1.944147516041994095e-05 4.872950012213550508e-05 2.391219823039136827e-05
1.100000000000000000e+04 2.045014116447418928e-04 2.466796431690454483e-04 1.068117580871330574e-05 3.632835432654246688e-05 1.219411387864965945e-05 2.054664264505845495e-06 5.394948857428971678e-06 1.596697075001429766e-06 9.909482287184800953e-06 1.068720666808076203e-05
1.200000000000000000e+04 1.547131541883572936e-04 1.550425222376361489e-04 9.225178473570849746e-06 2.258479798911139369e-05 6.813617801526561379e-06 1.045510771291446872e-06 1.452167680326965638e-06 4.268040640909021022e-07 1.549828766655991785e-06 7.983366231201216578e-06
1.300000000000000000e+04 1.295225811190903187e-04 1.537813950562849641e-04 3.426017792662605643e-05 4.820618778467178345e-05 7.540902515756897628e-06 2.860479753508116119e-06 2.535009798521059565e-06 1.308841433456109371e-06 2.460594942021998577e-06 7.990207450347952545e-06
1.400000000000000000e+04 1.962427777471020818e-04 1.451267889933660626e-04 1.515779240435222164e-05 1.577692455612123013e-05 7.682012437726370990e-06 2.446566668368177488e-06 1.775615487531467807e-06 2.294384103151969612e-06 6.805347538829664700e-07 7.597193871333729476e-06
1.500000000000000000e+04 9.411801875103265047e-05 1.361064787488430738e-04 1.415631595591548830e-05 2.019697603827808052e-05 5.159176453162217513e-06 7.326486297642986756e-07 1.484894369241374079e-06 3.434843165450729430e-07 8.844701824273215607e-07 4.988006367057096213e-06
1.600000000000000000e+04 9.657732152845710516e-05 1.315517583861947060e-04 3.811497663264162838e-05 3.500137972878292203e-05 3.844109414785634726e-06 1.601124495209660381e-06 8.690170147929165978e-07 1.256791847481508739e-06 4.026885562780080363e-06 4.695518327935133129e-06
1.700000000000000000e+04 7.816036668373271823e-05 1.369944366160780191e-04 8.534927474102005363e-06 1.309147501160623506e-05 4.638423888536635786e-06 1.215455654346442316e-06 1.783615516615100205e-06 2.389162716553983046e-07 4.066786800649424549e-07 4.439051735971588641e-06
1.800000000000000000e+04 9.690325532574206591e-05 1.415038568666204810e-04 6.917458904354134575e-06 8.403530955547466874e-06 3.655686441561556421e-06 1.944254108821041882e-07 4.320431798987556249e-07 2.566435739481676137e-07 2.230474507314283983e-07 2.155356696675880812e-06
1.900000000000000000e+04 1.144649286288768053e-04 1.674038794590160251e-04 9.749780474521685392e-06 8.834544132696464658e-06 1.412933670508209616e-05 2.547506596783932764e-07 1.183536937787721399e-06 4.379576694191200659e-06 1.236870048160199076e-06 3.826679858320858330e-06
2.000000000000000000e+04 5.557070107897743583e-05 1.043663505697622895e-04 5.507651167135918513e-06 5.638906259264331311e-06 2.103860651914146729e-06 2.020807698954740772e-07 2.001939805040819920e-07 1.969955860658956226e-07 4.759963303513359278e-07 1.907024397951317951e-06
2.100000000000000000e+04 4.878587424173019826e-05 9.902962483465671539e-05 3.458535729805589654e-06 4.685838575824163854e-06 9.823027539823669940e-06 6.982876925576420035e-07 2.776086830635904334e-06 1.235782860931067262e-06 2.718864152484457009e-06 2.787317725960747339e-06
2.200000000000000000e+04 8.244882337749004364e-05 9.265792323276400566e-05 6.580503395525738597e-06 6.680902970401803032e-06 3.780469569392153062e-06 1.330118379883060697e-06 2.264122542783297831e-07 3.481029580143513158e-06 6.171190989334718324e-07 3.184599790984066203e-06
2.300000000000000000e+04 4.514164538704790175e-05 1.258842094102874398e-04 4.376754532131599262e-06 7.451901637978153303e-06 3.708904614541097544e-06 3.248409541356522823e-07 3.316285415166930761e-07 1.942391776310614659e-07 8.747231277084210888e-07 2.089417193928966299e-06
2.400000000000000000e+04 6.036432387190870941e-05 2.318148326594382524e-04 2.802679773594718426e-05 2.481462615833152086e-05 9.446967851545196027e-06 1.124296318266715389e-06 2.730600954237161204e-07 1.752614821270981338e-06 2.098297272823401727e-06 2.304232111782766879e-06
2.500000000000000000e+04 3.913702676072716713e-05 7.182825356721878052e-05 3.801671937253559008e-06 3.880925305566051975e-06 2.823393970174947754e-06 1.325748144154204056e-06 1.363723924896476092e-07 9.212059239871450700e-07 2.044985052407355397e-07 2.248571945528965443e-06
2.600000000000000000e+04 2.395142655586823821e-05 7.142706454033032060e-05 2.703414793359115720e-06 3.218350229872157797e-06 2.546475116105284542e-06 1.294422986575227696e-07 1.070945572223536146e-07 1.674237211091167410e-07 1.206950486221103347e-07 1.394544483446225058e-06
2.700000000000000000e+04 2.547631083871237934e-05 7.761955930618569255e-05 5.814668384118704125e-06 7.576239568152232096e-06 3.789921947827679105e-06 8.713956844985659700e-07 8.859222333512661862e-08 1.143069425779685844e-07 9.382069947605486959e-07 1.699290464785008226e-06
2.800000000000000000e+04 2.470726394676603377e-05 1.405603106832131743e-04 2.686979769350728020e-06 1.700512257230002433e-05 5.265084382699569687e-06 2.036525529547361657e-06 4.237205757817719132e-06 9.752427558851195499e-07 1.221807451656786725e-06 3.075790118600707501e-06
2.900000000000000000e+04 5.273203714750707150e-05 1.040645947796292603e-04 6.411855792975984514e-06 9.563136700307950377e-06 6.243245024961652234e-06 1.281997015212255064e-06 1.032380296805968101e-07 1.333268357939232374e-07 1.402644556947052479e-06 2.050137482001446187e-06
3.000000000000000000e+04 3.380882117198780179e-05 1.352463295916095376e-04 8.374848221137654036e-06 1.418129068042617291e-05 4.830299985769670457e-06 6.561389227499603294e-07 2.691828910883486969e-07 2.155149161353620002e-07 2.935627207989455201e-06 2.256202151329489425e-06
3.100000000000000000e+04 6.191794818732887506e-05 5.897398659726604819e-05 1.826544757932424545e-05 1.415249334968393669e-05 4.164557594776852056e-06 4.150792847212869674e-07 5.129051601215905976e-07 1.191123601529398002e-06 7.715260039731219877e-07 1.740374500514008105e-06
