# step train_loss_terms
1.000000000000000000e+03 1.882660668343305588e-03 1.484563946723937988e-02 7.532344316132366657e-04 7.168290903791785240e-04 1.317137794103473425e-04 3.427439514780417085e-05 4.850052846450125799e-06 1.357226119580445811e-05 1.626487210160121322e-05 8.688709931448101997e-05 1.134935009758919477e-04
2.000000000000000000e+03 5.701323971152305603e-04 8.543392759747803211e-04 3.503269108477979898e-04 2.725031808950006962e-04 6.853276136098429561e-05 3.382592331035993993e-05 9.468141797697171569e-06 1.839642573031596839e-05 2.237027956653037108e-06 3.816648677457123995e-05 3.600349009502679110e-05
3.000000000000000000e+03 4.119350051041692495e-04 3.787072782870382071e-04 1.107859425246715546e-04 1.493419113103300333e-04 4.985053965356200933e-05 2.895382021961268038e-05 1.253279333468526602e-05 7.107814781193155795e-06 7.837642442609649152e-06 1.673403130553197116e-05 5.190770934859756380e-06
4.000000000000000000e+03 2.681399346329271793e-04 2.207715733675286174e-04 4.807015648111701012e-05 1.117173669626936316e-04 2.091894566547125578e-05 1.079557023331290111e-05 1.418525698682060465e-05 3.655447244454990141e-06 1.033394141813914757e-06 9.721185051603242755e-06 2.240648427687119693e-06
5.000000000000000000e+03 1.927170960698276758e-04 1.468238187953829765e-04 2.948077235487289727e-05 7.459289918188005686e-05 1.164176046586362645e-05 3.090039172093383968e-06 8.778022674960084260e-06 3.091324288106989115e-06 1.776113322193850763e-06 6.536791261169128120e-06 2.145658527297200635e-06
6.000000000000000000e+03 1.661892310949042439e-04 1.124507252825424075e-04 2.710119042603764683e-05 5.081632116343826056e-05 8.215306479542050511e-06 1.801489247554854956e-06 8.771515240368898958e-06 1.651908860367257148e-06 2.355100377826602198e-06 4.261523827153723687e-06 1.920775048347422853e-06
7.000000000000000000e+03 1.502072118455544114e-04 9.561359911458566785e-05 3.047475365747231990e-05 2.623600448714569211e-05 6.543258223246084526e-06 1.761946691658522468e-06 7.623303190484875813e-06 1.063014451574417762e-06 2.832213795045390725e-06 3.535243649821495637e-06 1.769251866790000349e-06
8.000000000000000000e+03 1.351761457044631243e-04 8.188100036932155490e-05 2.715593109314795583e-05 1.230145608133170754e-05 5.815140866616275162e-06 2.065324224531650543e-06 7.273096798598999158e-06 2.629040523061121348e-07 2.532897724449867383e-06 2.764401870081201196e-06 9.816441206567105837e-07
9.000000000000000000e+03 1.221168349729850888e-04 8.751509449211880565e-05 5.430780947790481150e-05 3.334179200464859605e-05 1.207948935189051554e-05 3.839858436549548060e-06 1.257031726709101349e-05 1.090301611839095131e-05 1.540410812594927847e-05 8.097290447039995342e-06 1.372560654999688268e-05
1.000000000000000000e+04 8.572667138651013374e-05 5.061856427346356213e-05 2.701716948649846017e-05 5.357769623515196145e-06 4.445295417099259794e-06 2.161078327844734304e-06 5.396409960667369887e-06 3.931573644422314828e-08 2.294045771122910082e-06 1.978304680960718542e-06 8.121751307044178247e-07
1.100000000000000000e+04 7.298251148313283920e-05 4.304732647142373025e-05 3.465212648734450340e-05 1.101812540582614020e-05 5.650884759234031662e-06 1.687959297669294756e-06 5.692952527169836685e-06 2.258615040773293003e-06 3.759107357836910523e-06 2.434692305541830137e-06 3.169039700878784060e-06
1.200000000000000000e+04 4.778614675160497427e-05 2.951193710032384843e-05 2.170434709114488214e-05 4.090353741048602387e-06 3.526474074533325620e-06 6.543641575262881815e-07 4.625215751730138436e-06 3.698815760344587034e-07 1.950177193066338077e-06 1.696623712632572278e-06 9.988790452553075738e-07
1.300000000000000000e+04 4.083635940332897007e-05 3.812320210272446275e-05 3.980808105552569032e-05 1.909844650072045624e-05 6.418679276976035908e-06 9.820359991863369942e-07 4.996128609491279349e-06 2.426174205538700335e-06 4.491987056098878384e-06 2.464432554916129448e-06 3.733289986485033296e-06
1.400000000000000000e+04 2.845764356607105583e-05 2.392670648987405002e-05 1.780044840415939689e-05 3.358370349815231748e-06 3.407676786082447506e-06 3.510649548843502998e-07 4.144884769630152732e-06 2.612160869830404408e-07 1.524233198324509431e-06 1.890359840217570309e-06 6.170203050714917481e-07
1.500000000000000000e+04 2.352091905777342618e-05 2.187320751545485109e-05 1.650614285608753562e-05 3.088026687692035921e-06 3.158979779982473701e-06 3.400368200345837977e-07 3.625993258538073860e-06 3.289873404810350621e-07 1.401308395543310326e-06 1.857497863966273144e-06 5.953559707450040150e-07
1.600000000000000000e+04 1.950347723322920501e-05 2.017048609559424222e-05 1.492171213612891734e-05 2.900985691667301580e-06 2.879010480683064088e-06 3.956398018090112600e-07 3.095665988439577632e-06 2.746823781762941508e-07 1.217124918184708804e-06 1.603262376193015371e-06 5.614376732410164550e-07
1.700000000000000000e+04 1.628264908504206687e-05 1.873611472547054291e-05 1.420703756593866274e-05 2.866479462682036683e-06 2.666485215740976855e-06 5.332817636372055858e-07 2.508218358343583532e-06 2.563143937095446745e-07 1.040377242134127300e-06 1.472974417993100360e-06 4.258467356521578040e-07
1.800000000000000000e+04 1.630485348869115114e-05 2.023753768298774958e-05 1.648518991714809090e-05 6.220167961146216840e-06 3.526241926010698080e-06 5.132961291565152351e-07 2.700171080505242571e-06 2.652284820214845240e-06 1.233464104188897181e-06 1.716040856081235688e-06 1.731146653582982253e-06
1.900000000000000000e+04 1.236070511367870495e-05 1.564295598655007780e-05 1.069614700099918991e-05 2.506555119907716289e-06 3.478186954453121871e-06 4.896552923128183465e-07 1.877040290310105775e-06 7.254357683450507466e-07 9.117262607105658390e-07 1.228820565302157775e-06 6.536323553518741392e-07
2.000000000000000000e+04 1.415041697327978909e-05 1.516786142019554973e-05 1.194736978504806757e-05 4.069905571668641642e-06 2.793362000375054777e-06 1.465724722038430627e-06 1.740538550620840397e-06 2.949545432784361765e-06 1.299090286011050921e-06 2.403763119218638167e-06 2.007351895372266881e-06
2.100000000000000000e+04 9.111014151130802929e-06 1.230846464750356972e-05 6.783981916669290513e-06 2.218748704763129354e-06 2.134670012310380116e-06 4.668902988669287879e-07 1.173329110315535218e-06 1.370155473523482215e-07 6.742866389686241746e-07 1.205124249281652737e-06 2.647899748353665927e-07
2.200000000000000000e+04 2.543625305406749249e-05 3.194392775185406208e-05 2.771377694443799555e-05 2.186347592214588076e-05 7.100801212800433859e-06 5.189749117562314495e-06 1.515598910373228136e-06 3.661963773993193172e-06 3.001777486133505590e-06 4.542657734418753535e-06 3.045821586056263186e-06
2.300000000000000000e+04 6.915933681739261374e-06 9.093971129914280027e-06 4.141524186707101762e-06 2.175925146730151027e-06 2.067419245577184483e-06 5.092889523439225741e-07 7.658036338398233056e-07 1.073358006919988838e-07 4.269569444659282453e-07 1.131552608057972975e-06 1.895009660302093835e-07
2.400000000000000000e+04 5.986079031572444364e-06 7.770408956275787205e-06 3.490255494398297742e-06 2.023216893576318398e-06 1.955731477210065350e-06 3.807810458056337666e-07 6.226614459592383355e-07 1.099099264934011444e-07 3.806440247444697889e-07 1.132017928284767549e-06 1.628640688977611717e-07
2.500000000000000000e+04 2.974800008814781904e-05 3.887151251547038555e-05 2.774238782876636833e-05 2.126257641066331416e-05 1.726065420371014625e-05 8.266841291515447665e-07 3.206499968655407429e-06 2.490395127097144723e-05 6.275026862567756325e-06 8.339524356415495276e-06 1.491306647949386388e-05
2.600000000000000000e+04 4.771834483108250424e-06 6.108613888500258327e-06 2.544475592003436759e-06 1.845661017796373926e-06 1.803757413654238917e-06 3.687834464471961837e-07 4.994230380361841526e-07 3.744790433302114252e-08 2.362870219485557755e-07 1.050980586114746984e-06 9.511054344102376490e-08
2.700000000000000000e+04 5.075402896181913093e-06 6.396414846676634625e-06 2.501718654457363300e-06 2.510909098418778740e-06 2.807624696288257837e-06 7.898803460193448700e-07 5.577689989877399057e-07 5.997969765303423628e-08 3.897174849498696858e-07 1.339621121587697417e-06 1.382389882564893924e-07
2.800000000000000000e+04 4.501302100834436715e-06 5.519364094652701169e-06 2.578827889010426588e-06 2.026720949288574047e-06 2.141418235623859800e-06 3.468718148269545054e-07 4.889623710369050968e-07 6.949044859538844321e-07 1.923297787698174943e-07 1.144455950452538673e-06 4.130431534576928243e-07
2.900000000000000000e+04 6.096460765547817573e-06 6.546316853928146884e-06 4.377116056275554001e-06 2.694257545954314992e-06 6.323577963485149667e-06 5.654487722495105118e-07 1.320457840847666375e-06 4.868800260737771168e-06 1.133158548327628523e-06 1.870390178737579845e-06 3.017378958247718401e-06
3.000000000000000000e+04 1.541445635666605085e-05 2.070750088023487478e-05 1.463669741497142240e-05 2.065506123472005129e-05 2.468995262461248785e-06 4.111077942070551217e-06 1.164107743534259498e-06 4.663224444811930880e-06 2.714558888783358270e-07 3.216156528651481494e-06 2.544641802160185762e-06
3.100000000000000000e+04 3.569514547052676789e-06 4.669766440201783553e-06 2.053239995802869089e-06 1.782578920028754510e-06 2.085574806187651120e-06 6.118599458204698749e-07 3.812580473550042370e-07 1.995124279119409039e-07 1.494521058020836790e-07 1.122402863984461874e-06 1.573984746983114746e-07
3.200000000000000000e+04 1.011791209748480469e-05 1.073241764970589429e-05 9.976167348213493824e-06 8.422167411481495947e-06 3.515009893817477860e-06 2.808917543006828055e-06 5.315854991749802139e-07 3.931767196263535880e-07 5.206912874200497754e-07 1.772523319232277572e-06 4.591053652802656870e-07
3.300000000000000000e+04 3.125293460470857099e-06 3.653060502983862534e-06 2.066379693133058026e-06 1.587404312886064872e-06 1.567927029100246727e-06 5.190361775930796284e-07 3.167224633671139600e-07 2.923003883381625201e-08 1.078846807445188460e-07 1.082888502423884347e-06 4.416503074367028603e-08
3.400000000000000000e+04 2.686072321012034081e-06 3.711812041728990152e-06 1.648974262025149073e-06 1.927931407408323139e-06 1.379687887492764276e-06 3.692244661124277627e-07 4.739285088817268843e-07 5.086465293402397947e-08 1.610744959634757834e-07 1.020716808852739632e-06 1.239199747260499862e-07
3.500000000000000000e+04 2.382069169470923953e-06 3.146474682580446824e-06 1.430606289432034828e-06 1.473944280405703466e-06 1.298787196901685093e-06 3.376252664111234481e-07 2.353099688434667769e-07 1.693784668077569222e-08 5.575376604838311323e-08 1.017783574752684217e-06 2.133388399272462266e-08
3.600000000000000000e+04 9.150233381660655141e-06 2.383130231464747339e-05 1.423765934305265546e-05 1.555075505166314542e-05 4.433429694472579286e-06 1.758174448696081527e-06 5.336547701517702080e-07 7.105608119672979228e-07 5.979709385428577662e-07 1.427047550350835081e-06 5.789026999991619959e-07
3.700000000000000000e+04 2.557882226028596051e-06 3.982549515058053657e-06 2.125535047525772825e-06 2.470704430379555561e-06 1.395605977450031787e-06 5.107129368298046757e-07 2.591473275970201939e-07 1.958772344323733705e-08 6.124506768401261070e-08 1.030519342748448253e-06 3.428855777087846946e-08
3.800000000000000000e+04 5.145805971551453695e-06 4.167694442003266886e-06 2.478381020409869961e-06 2.408821501376223750e-06 5.764282832387834787e-06 2.280441549373790622e-06 7.242084620884270407e-07 4.218715901060932083e-07 5.996427603349729907e-07 1.237070023307751399e-06 5.182760105526540428e-07
3.900000000000000000e+04 6.504579687316436321e-06 3.762472488233470358e-06 4.223213181830942631e-06 1.836795036069815978e-06 7.974293112056329846e-06 1.928903884618193842e-06 7.999493618626729585e-07 1.893901867333624978e-06 8.227741545852040872e-07 1.998025709326611832e-06 1.333295813310542144e-06
