# step K_rel_l2 mu_rel_l2 E_rel_l2 nu_rel_l2
1.000000000000000000e+03 5.626255069821192167e-01 5.470030773447607242e-01 2.189137520917560642e-01 1.089238064780500448e+00
2.000000000000000000e+03 5.743025554982736924e-01 6.911432925410303518e-01 2.868799936922123983e-01 1.248352018377917316e+00
3.000000000000000000e+03 7.031648677332152930e-01 8.711274565737441300e-01 2.086949811593305781e-01 1.910559189920961964e+00
4.000000000000000000e+03 6.030312688535360843e-01 7.533600500513608633e-01 2.002431181768258017e-01 1.466544051090341139e+00
5.000000000000000000e+03 5.163810832353200597e-01 6.884425347391260885e-01 2.839938283009988407e-01 1.114924286916249452e+00
6.000000000000000000e+03 4.677701923118997573e-01 6.803662856401156978e-01 3.216425365244848233e-01 9.492741926945714726e-01
7.000000000000000000e+03 4.795271689587928821e-01 6.548332024462981682e-01 2.739816224313904036e-01 9.784390729129691655e-01
8.000000000000000000e+03 4.445037575028698562e-01 6.364308381674758097e-01 2.721693637305411806e-01 9.017097130835781682e-01
9.000000000000000000e+03 4.522425290317205748e-01 6.292171594150512970e-01 2.441858838486534178e-01 9.400784880824187839e-01
1.000000000000000000e+04 4.541494094565946549e-01 6.156950003066811172e-01 2.327623544347518780e-01 9.315294977022363643e-01
1.100000000000000000e+04 4.367540316365418618e-01 5.753306529474290221e-01 2.305234080728132962e-01 8.741399840383020647e-01
1.200000000000000000e+04 4.423961484769362573e-01 5.517402665853933241e-01 2.162105339461509179e-01 8.940682088030961205e-01
1.300000000000000000e+04 4.248909520475008250e-01 5.269552938914884299e-01 2.163153834288934485e-01 8.594268102994145897e-01
1.400000000000000000e+04 4.067809550860919665e-01 5.007919749987046476e-01 2.149277231206882799e-01 8.284875223943742872e-01
1.500000000000000000e+04 3.996390848559081554e-01 4.889888332172233620e-01 2.128184249495612967e-01 8.169616376379250644e-01
1.600000000000000000e+04 3.741593234072507768e-01 4.774507036630447065e-01 2.204787049951033584e-01 7.764665095131796368e-01
1.700000000000000000e+04 3.635520842966334931e-01 4.707469423499791583e-01 2.206164831653002478e-01 7.621283064036531441e-01
1.800000000000000000e+04 3.644543583950749510e-01 4.942705899073830955e-01 2.326874814123126023e-01 7.844933380319932814e-01
1.900000000000000000e+04 3.734001988294607388e-01 4.910555282162345492e-01 2.260385889698509065e-01 8.015588671821516353e-01
2.000000000000000000e+04 3.665374990641812047e-01 5.075779012891532549e-01 2.414268686098928474e-01 8.113765609899269426e-01
2.100000000000000000e+04 3.817669731679063649e-01 5.312441231874621694e-01 2.488111154168090311e-01 8.576019480854748522e-01
2.200000000000000000e+04 3.838535542696373537e-01 5.468010062574240049e-01 2.596101579504989099e-01 8.830484146343895446e-01
2.300000000000000000e+04 3.905740953588613951e-01 5.457096928530574820e-01 2.568684927236108417e-01 9.031413699538504147e-01
2.400000000000000000e+04 3.897125835061582277e-01 5.135747965069329402e-01 2.447844592582544554e-01 8.772348631973907462e-01
2.500000000000000000e+04 3.921231983142204891e-01 5.244412987612135923e-01 2.537596839863266451e-01 8.949773174833067779e-01
2.600000000000000000e+04 3.942430552802982380e-01 5.388156655963063368e-01 2.630471862186641308e-01 9.074473895652849231e-01
2.700000000000000000e+04 4.026832071657648893e-01 5.335005836627222386e-01 2.571896950376482138e-01 9.165539295151086119e-01
2.800000000000000000e+04 4.060864280712645491e-01 5.496879968242601722e-01 2.663746868595243678e-01 9.210862604748635274e-01
2.900000000000000000e+04 3.989593379396367823e-01 5.333089340737708905e-01 2.649886616309720666e-01 8.885279462834783093e-01
3.000000000000000000e+04 3.958576640728329044e-01 5.284210158169431182e-01 2.673002100713876006e-01 8.675151423461432421e-01
3.100000000000000000e+04 3.967477177545911671e-01 5.147375884369483900e-01 2.598886892274833715e-01 8.551349303181413619e-01
3.200000000000000000e+04 4.040119572923727698e-01 5.302252892436175591e-01 2.648691191407930301e-01 8.708938958287992804e-01
3.300000000000000000e+04 3.946683753231026714e-01 5.111478238321019996e-01 2.602188844796117229e-01 8.342523191503249391e-01
3.400000000000000000e+04 3.916446203743845778e-01 5.022208978479397734e-01 2.586853160218243741e-01 8.141985375603275621e-01
3.500000000000000000e+04 3.925099855116275238e-01 5.079230471848314998e-01 2.595965549961642971e-01 8.162953751740923414e-01
3.600000000000000000e+04 3.873728966570881838e-01 4.957602753912719318e-01 2.542192776254307840e-01 7.947155952470084106e-01
3.700000000000000000e+04 3.827085232451921670e-01 4.918755293914497395e-01 2.559248473789278999e-01 7.823560904369477598e-01
3.800000000000000000e+04 3.712587359464994408e-01 4.668641099021204055e-01 2.491555040687021827e-01 7.309226062319660322e-01
3.900000000000000000e+04 3.736804702328049288e-01 4.829665319172216642e-01 2.543817636659382320e-01 7.511946635334707523e-01
4.000000000000000000e+04 3.716189630040432346e-01 4.757691330761167348e-01 2.506040710939780869e-01 7.440601770295943718e-01
4.100000000000000000e+04 3.628465754208678451e-01 4.752149684275114860e-01 2.555461901826425741e-01 7.266894482120187515e-01
4.200000000000000000e+04 3.624167140069987081e-01 4.547325142859340308e-01 2.439389868210647128e-01 7.089836178861927962e-01
4.300000000000000000e+04 3.598129670731123886e-01 4.625869679927540612e-01 2.501392315743209416e-01 7.118861826219391453e-01
4.400000000000000000e+04 3.577791484461148586e-01 4.588326084797929583e-01 2.492264937769658184e-01 7.024350374780190531e-01
4.500000000000000000e+04 3.565362439943602912e-01 4.611368488756164563e-01 2.496010859835584850e-01 7.051456741191162170e-01
4.600000000000000000e+04 3.548030090849235707e-01 4.553281294139929769e-01 2.472397357420482444e-01 6.948770574609490769e-01
4.700000000000000000e+04 3.534390839751600510e-01 4.565530087454059971e-01 2.485638550381863709e-01 6.941251072930237909e-01
4.800000000000000000e+04 3.546871077906603165e-01 4.523567364859397144e-01 2.453305985717644244e-01 6.925270200218358596e-01
4.900000000000000000e+04 3.477983157843545503e-01 4.498699432328062686e-01 2.478396737180267317e-01 6.793213008427740895e-01
5.000000000000000000e+04 3.485113660884336939e-01 4.425061831279280544e-01 2.431058910284698837e-01 6.706985989479801180e-01
5.100000000000000000e+04 3.497045356461646604e-01 4.434876292103336337e-01 2.433176338435211195e-01 6.750382291556997760e-01
5.200000000000000000e+04 3.460716865055574187e-01 4.410200597946172807e-01 2.426934421860245661e-01 6.665342074353749480e-01
5.300000000000000000e+04 3.482209385279811942e-01 4.426151967113208241e-01 2.428689861543156248e-01 6.699019119174129955e-01
5.400000000000000000e+04 3.434225809079461400e-01 4.321425328903721885e-01 2.388898835623330386e-01 6.512716742951363269e-01
5.500000000000000000e+04 3.435215827971564995e-01 4.224586646280045765e-01 2.329162563070815983e-01 6.458372658373822128e-01
5.600000000000000000e+04 3.424990036506921354e-01 4.282795719436719439e-01 2.373957614011720507e-01 6.480551015977736862e-01
5.700000000000000000e+04 3.387033532382808243e-01 4.211932179949671173e-01 2.350534870889456895e-01 6.340423417791741789e-01
5.800000000000000000e+04 3.430622712800193153e-01 4.216749031830503425e-01 2.329053557760622228e-01 6.425593827764509713e-01
5.900000000000000000e+04 3.449700599791063471e-01 4.173921972533596314e-01 2.296448934009711063e-01 6.414424678923115186e-01
6.000000000000000000e+04 3.384455409791111147e-01 4.043810448370043220e-01 2.251518761903045784e-01 6.200969576846223630e-01
6.100000000000000000e+04 3.386116175427739683e-01 4.112347108669578422e-01 2.290596030135499117e-01 6.261921041059003157e-01
6.200000000000000000e+04 3.380022481162748282e-01 4.046415234181167109e-01 2.258860723733382703e-01 6.201788980003934970e-01
6.300000000000000000e+04 3.361218452608810137e-01 4.072901737280941181e-01 2.283029017758491652e-01 6.181298878788139550e-01
6.400000000000000000e+04 3.349847685166643108e-01 4.042538083510676672e-01 2.268914192654787332e-01 6.138420257159472593e-01
6.500000000000000000e+04 3.325556854662722883e-01 3.973200086527385322e-01 2.240556688302297594e-01 6.052877039998023623e-01
6.600000000000000000e+04 3.304589482074329898e-01 3.955482950487031468e-01 2.240148826766656109e-01 5.964643043490295282e-01
6.700000000000000000e+04 3.311267774650921702e-01 3.928304919146939911e-01 2.224755460212138602e-01 5.955009164874617289e-01
6.800000000000000000e+04 3.289701766785818604e-01 3.910808283171293698e-01 2.224125046168184960e-01 5.898677419171934888e-01
6.900000000000000000e+04 3.291148675130491918e-01 3.826159809732406214e-01 2.174211060441706145e-01 5.831389778066355944e-01
7.000000000000000000e+04 3.264288529542394013e-01 3.837438579397389748e-01 2.189851505699329237e-01 5.787682481391347444e-01
7.100000000000000000e+04 3.244681916865749804e-01 3.821003523172524785e-01 2.192409269884144918e-01 5.733918662510592013e-01
7.200000000000000000e+04 3.225560542806502617e-01 3.761171169165654082e-01 2.161390900490947897e-01 5.650986254655986363e-01
7.300000000000000000e+04 3.201587608277111086e-01 3.713137187779987358e-01 2.138535893359276574e-01 5.585386483609834363e-01
7.400000000000000000e+04 3.184908115677620444e-01 3.703807297191590853e-01 2.139941834766379003e-01 5.527371503792041230e-01
7.500000000000000000e+04 3.158572567256147101e-01 3.654836264129069368e-01 2.126215341080239518e-01 5.462197466965500459e-01
7.600000000000000000e+04 3.122973998035745713e-01 3.588121894083926011e-01 2.092773420290403308e-01 5.348984229830090475e-01
7.700000000000000000e+04 3.109528512103538200e-01 3.533073714378205388e-01 2.059876980240327726e-01 5.292531563246519744e-01
7.800000000000000000e+04 3.084916207575159608e-01 3.535426205722767556e-01 2.073786512009833938e-01 5.253443598752913779e-01
7.900000000000000000e+04 3.066987975550182211e-01 3.474587617775750092e-01 2.038919573883611336e-01 5.195404280227465810e-01
8.000000000000000000e+04 3.022406849598423539e-01 3.392742056374352666e-01 2.004512729004164773e-01 5.068038664083830414e-01
