# step train_loss_terms test_loss_terms
0.000000000000000000e+00 9.911634773015975952e-02 1.343398839235305786e-01 3.661014139652252197e-02 4.194105565547943115e-01 4.377833753824234009e-02 2.245000330731272697e-03 2.771989384200423956e-04 6.682935357093811035e-02 2.158658951520919800e-02 1.250363327562808990e-02 4.186200350522994995e-02 2.388835996389389038e-01 9.911634773015975952e-02 1.343398839235305786e-01 3.661014139652252197e-02 4.194105565547943115e-01 4.377833753824234009e-02 2.245000330731272697e-03 2.771989384200423956e-04 6.682935357093811035e-02 2.158658951520919800e-02 1.250363327562808990e-02 4.186200350522994995e-02 2.388835996389389038e-01
1.000000000000000000e+03 1.013427972793579102e-03 2.568770432844758034e-03 1.342782634310424328e-04 2.796150511130690575e-04 5.487195448949933052e-04 3.824007944785989821e-05 1.046001125359907746e-05 1.235716808878351003e-05 6.052772005205042660e-05 7.376033317996188998e-05 3.016127629962284118e-05 9.496621942162164487e-07 1.013427972793579102e-03 2.568770432844758034e-03 1.342782634310424328e-04 2.796150511130690575e-04 5.487195448949933052e-04 3.824007944785989821e-05 1.046001125359907746e-05 1.235716808878351003e-05 6.052772005205042660e-05 7.376033317996188998e-05 3.016127629962284118e-05 9.496621942162164487e-07
2.000000000000000000e+03 8.320405613631010056e-04 7.201718981377780437e-04 1.020177369355224073e-04 2.208781515946611762e-04 2.129467320628464222e-04 1.771073038980830461e-05 1.202716885018162429e-05 6.575070983672048897e-06 5.402804163168184459e-05 1.962764144991524518e-05 2.713633512030355632e-05 5.460634611154091544e-08 8.320405613631010056e-04 7.201718981377780437e-04 1.020177369355224073e-04 2.208781515946611762e-04 2.129467320628464222e-04 1.771073038980830461e-05 1.202716885018162429e-05 6.575070983672048897e-06 5.402804163168184459e-05 1.962764144991524518e-05 2.713633512030355632e-05 5.460634611154091544e-08
3.000000000000000000e+03 7.311042281799018383e-04 4.243122239131480455e-04 4.141511089983396232e-05 1.587181614013388753e-04 3.212890806025825441e-05 8.856848580762743950e-06 1.013752807921264321e-05 9.217907063430175185e-06 3.205342727596871555e-05 1.937041452038101852e-05 1.735480145725887269e-05 4.288889243753146729e-08 7.311042281799018383e-04 4.243122239131480455e-04 4.141511089983396232e-05 1.587181614013388753e-04 3.212890806025825441e-05 8.856848580762743950e-06 1.013752807921264321e-05 9.217907063430175185e-06 3.205342727596871555e-05 1.937041452038101852e-05 1.735480145725887269e-05 4.288889243753146729e-08
4.000000000000000000e+03 6.712009198963642120e-04 3.542614576872438192e-04 1.534891453047748655e-05 1.044789460138417780e-04 1.793490446289069951e-05 2.826831405400298536e-06 1.026743848342448473e-05 6.210089395608520135e-06 2.124989623553119600e-05 1.152476761490106583e-05 1.179740957013564184e-05 4.404456177553583984e-08 6.712009198963642120e-04 3.542614576872438192e-04 1.534891453047748655e-05 1.044789460138417780e-04 1.793490446289069951e-05 2.826831405400298536e-06 1.026743848342448473e-05 6.210089395608520135e-06 2.124989623553119600e-05 1.152476761490106583e-05 1.179740957013564184e-05 4.404456177553583984e-08
5.000000000000000000e+03 6.359349354170262814e-04 5.315129528753459454e-04 1.452240303478902206e-05 1.084202158381231129e-04 2.891459553211461753e-05 1.187845782624208368e-06 1.151730612036772072e-05 5.084755684947595000e-06 1.483775122324004769e-05 1.378663182549644262e-05 6.068305992812383920e-06 2.970618697872851044e-05 6.359349354170262814e-04 5.315129528753459454e-04 1.452240303478902206e-05 1.084202158381231129e-04 2.891459553211461753e-05 1.187845782624208368e-06 1.151730612036772072e-05 5.084755684947595000e-06 1.483775122324004769e-05 1.378663182549644262e-05 6.068305992812383920e-06 2.970618697872851044e-05
6.000000000000000000e+03 5.856919451616704464e-04 2.819369256030768156e-04 1.388790406053885818e-05 6.752869376214221120e-05 1.174462886410765350e-05 9.358930697089817841e-07 9.050044354808051139e-06 1.871011590992566198e-06 5.319064712239196524e-06 7.636651389475446194e-06 2.141776349162682891e-06 5.797161861664790194e-08 5.856919451616704464e-04 2.819369256030768156e-04 1.388790406053885818e-05 6.752869376214221120e-05 1.174462886410765350e-05 9.358930697089817841e-07 9.050044354808051139e-06 1.871011590992566198e-06 5.319064712239196524e-06 7.636651389475446194e-06 2.141776349162682891e-06 5.797161861664790194e-08
7.000000000000000000e+03 5.582617595791816711e-04 2.569048956502228975e-04 2.777562258415855467e-05 3.911532257916405797e-05 1.172295378637500107e-05 1.780029265319171827e-06 7.425097464874852449e-06 1.495934384365682490e-06 3.565636461644317023e-06 6.737019702995894477e-06 2.172981567127862945e-06 1.514736936769622844e-06 5.582617595791816711e-04 2.569048956502228975e-04 2.777562258415855467e-05 3.911532257916405797e-05 1.172295378637500107e-05 1.780029265319171827e-06 7.425097464874852449e-06 1.495934384365682490e-06 3.565636461644317023e-06 6.737019702995894477e-06 2.172981567127862945e-06 1.514736936769622844e-06
8.000000000000000000e+03 4.905665409751236439e-04 2.031291223829612136e-04 1.707599221845157444e-05 2.920357110269833356e-05 1.655301275604870170e-05 1.346596377516107168e-06 5.583020083577139303e-06 1.277013438993890304e-06 2.452604576319572516e-06 7.971544619067572057e-06 8.358547347597777843e-07 1.252333881041067798e-08 4.905665409751236439e-04 2.031291223829612136e-04 1.707599221845157444e-05 2.920357110269833356e-05 1.655301275604870170e-05 1.346596377516107168e-06 5.583020083577139303e-06 1.277013438993890304e-06 2.452604576319572516e-06 7.971544619067572057e-06 8.358547347597777843e-07 1.252333881041067798e-08
9.000000000000000000e+03 4.172629269305616617e-04 2.046297886408865452e-04 1.772546602296642959e-05 1.913682717713527381e-05 1.792327930161263794e-05 1.595696289768966381e-06 3.585405011108377948e-06 1.394206719851354137e-06 1.859188841990544461e-06 8.129959496727678925e-06 8.844306194077944383e-07 1.765857632562983781e-06 4.172629269305616617e-04 2.046297886408865452e-04 1.772546602296642959e-05 1.913682717713527381e-05 1.792327930161263794e-05 1.595696289768966381e-06 3.585405011108377948e-06 1.394206719851354137e-06 1.859188841990544461e-06 8.129959496727678925e-06 8.844306194077944383e-07 1.765857632562983781e-06
1.000000000000000000e+04 2.864022389985620975e-04 1.695365936029702425e-04 1.415416136296698824e-05 1.273436828341800719e-05 1.323578544543124735e-05 1.149648937825986650e-06 1.993112164200283587e-06 1.653962499403860420e-06 1.824976152420276776e-06 7.798898877808824182e-06 9.824079825193621218e-07 1.429611842240774422e-07 2.864022389985620975e-04 1.695365936029702425e-04 1.415416136296698824e-05 1.273436828341800719e-05 1.323578544543124735e-05 1.149648937825986650e-06 1.993112164200283587e-06 1.653962499403860420e-06 1.824976152420276776e-06 7.798898877808824182e-06 9.824079825193621218e-07 1.429611842240774422e-07
1.100000000000000000e+04 2.451352484058588743e-04 1.631324848858639598e-04 1.399334814777830616e-05 9.774896170711144805e-06 1.156157395598711446e-05 1.275840986636467278e-06 1.341104393759451341e-06 1.131999965764407534e-06 1.846743771238834597e-06 6.518047030112938955e-06 7.841679803277656902e-07 2.364726299219910288e-07 2.451352484058588743e-04 1.631324848858639598e-04 1.399334814777830616e-05 9.774896170711144805e-06 1.156157395598711446e-05 1.275840986636467278e-06 1.341104393759451341e-06 1.131999965764407534e-06 1.846743771238834597e-06 6.518047030112938955e-06 7.841679803277656902e-07 2.364726299219910288e-07
1.200000000000000000e+04 2.356596960453316569e-04 1.498446654295548797e-04 1.553864603920374066e-05 1.767288085829932243e-05 2.253388447570614517e-05 1.421611500518338289e-06 2.732637994995457120e-06 4.770041073243191931e-07 2.529618313928949647e-06 7.643367098353337497e-06 1.053123128258448560e-06 3.118173879101959756e-07 2.356596960453316569e-04 1.498446654295548797e-04 1.553864603920374066e-05 1.767288085829932243e-05 2.253388447570614517e-05 1.421611500518338289e-06 2.732637994995457120e-06 4.770041073243191931e-07 2.529618313928949647e-06 7.643367098353337497e-06 1.053123128258448560e-06 3.118173879101959756e-07
1.300000000000000000e+04 1.842917699832469225e-04 1.387799566145986319e-04 1.057354165823198855e-05 7.398288744298042729e-06 1.135346246883273125e-05 7.962236168168601580e-07 1.144869088420819025e-06 1.945601155739495880e-07 1.667101287239347585e-06 6.048122486390639096e-06 5.418157797976164147e-07 2.123124005493082223e-07 1.842917699832469225e-04 1.387799566145986319e-04 1.057354165823198855e-05 7.398288744298042729e-06 1.135346246883273125e-05 7.962236168168601580e-07 1.144869088420819025e-06 1.945601155739495880e-07 1.667101287239347585e-06 6.048122486390639096e-06 5.418157797976164147e-07 2.123124005493082223e-07
1.400000000000000000e+04 1.467807742301374674e-04 1.237015530932694674e-04 9.630653948988765478e-06 6.289974862738745287e-06 1.000414431473473087e-05 6.521264594994136132e-07 1.083271172319655307e-06 4.726439684077377024e-08 1.373831764794886112e-06 5.442213478090707213e-06 5.141799874763819389e-07 5.069119790590548291e-09 1.467807742301374674e-04 1.237015530932694674e-04 9.630653948988765478e-06 6.289974862738745287e-06 1.000414431473473087e-05 6.521264594994136132e-07 1.083271172319655307e-06 4.726439684077377024e-08 1.373831764794886112e-06 5.442213478090707213e-06 5.141799874763819389e-07 5.069119790590548291e-09
1.500000000000000000e+04 1.123292822740040720e-04 1.141564280260354280e-04 1.700186294328887016e-05 1.459595659980550408e-05 1.174142653326271102e-05 1.088056592379871290e-06 1.771926122273725923e-06 8.313381272273545619e-07 1.705262206996849272e-06 4.412907856021774933e-06 9.379167522638454102e-07 1.072098939403076656e-06 1.123292822740040720e-04 1.141564280260354280e-04 1.700186294328887016e-05 1.459595659980550408e-05 1.174142653326271102e-05 1.088056592379871290e-06 1.771926122273725923e-06 8.313381272273545619e-07 1.705262206996849272e-06 4.412907856021774933e-06 9.379167522638454102e-07 1.072098939403076656e-06
1.600000000000000000e+04 9.318803495261818171e-05 9.930108353728428483e-05 7.539798843936296180e-06 4.684667601395631209e-06 8.128282388497609645e-06 4.183612816177628702e-07 1.259751229554240126e-06 8.395843309472184046e-08 1.157796759798657149e-06 3.977021606260677800e-06 4.792740924131067004e-07 8.687459640555061924e-10 9.318803495261818171e-05 9.930108353728428483e-05 7.539798843936296180e-06 4.684667601395631209e-06 8.128282388497609645e-06 4.183612816177628702e-07 1.259751229554240126e-06 8.395843309472184046e-08 1.157796759798657149e-06 3.977021606260677800e-06 4.792740924131067004e-07 8.687459640555061924e-10
1.700000000000000000e+04 7.394977001240476966e-05 9.107653750106692314e-05 5.547180535359075293e-06 6.756509264960186556e-06 8.622283530712593347e-06 5.522174433281179518e-07 1.757661493684281595e-06 6.324262926682422403e-07 2.989020686072763056e-06 4.948221885570092127e-06 1.254547782991721760e-06 5.356671550771352486e-08 7.394977001240476966e-05 9.107653750106692314e-05 5.547180535359075293e-06 6.756509264960186556e-06 8.622283530712593347e-06 5.522174433281179518e-07 1.757661493684281595e-06 6.324262926682422403e-07 2.989020686072763056e-06 4.948221885570092127e-06 1.254547782991721760e-06 5.356671550771352486e-08
1.800000000000000000e+04 6.720971578033640981e-05 8.359872299479320645e-05 4.101908416487276554e-06 3.675982270578970201e-06 6.113110885053174570e-06 2.349249115241036634e-07 1.220617264152679127e-06 5.617045673034226638e-08 7.885340096436266322e-07 3.185256900906097144e-06 3.716705236911366228e-07 6.845265687616119976e-08 6.720971578033640981e-05 8.359872299479320645e-05 4.101908416487276554e-06 3.675982270578970201e-06 6.113110885053174570e-06 2.349249115241036634e-07 1.220617264152679127e-06 5.617045673034226638e-08 7.885340096436266322e-07 3.185256900906097144e-06 3.716705236911366228e-07 6.845265687616119976e-08
1.900000000000000000e+04 2.145876351278275251e-04 4.065351968165487051e-04 2.392187707300763577e-05 2.706081613723654300e-05 9.311399480793625116e-05 1.131341377913486212e-06 6.233207386685535312e-06 2.672002665349282324e-06 4.306114078644895926e-06 5.567432708630803972e-06 3.263877715653507039e-06 1.943337338161654770e-05 2.145876351278275251e-04 4.065351968165487051e-04 2.392187707300763577e-05 2.706081613723654300e-05 9.311399480793625116e-05 1.131341377913486212e-06 6.233207386685535312e-06 2.672002665349282324e-06 4.306114078644895926e-06 5.567432708630803972e-06 3.263877715653507039e-06 1.943337338161654770e-05
2.000000000000000000e+04 6.125457730377092957e-05 7.309726061066612601e-05 4.766229722008574754e-06 3.693470034704660065e-06 6.173204383230768144e-06 2.276165105286054313e-07 1.381303150083112996e-06 1.316701911946438486e-07 6.216542942638625391e-07 2.708000238271779381e-06 2.503369955775269773e-07 1.964969271739391843e-07 6.125457730377092957e-05 7.309726061066612601e-05 4.766229722008574754e-06 3.693470034704660065e-06 6.173204383230768144e-06 2.276165105286054313e-07 1.381303150083112996e-06 1.316701911946438486e-07 6.216542942638625391e-07 2.708000238271779381e-06 2.503369955775269773e-07 1.964969271739391843e-07
2.100000000000000000e+04 6.667098932666704059e-05 7.712092337897047400e-05 1.071283440978731960e-05 6.552479135280009359e-06 1.099270502891158685e-05 4.682350720486283535e-07 1.927098537635174580e-06 6.653093009845179040e-07 8.366902761736128014e-07 3.110213128820760176e-06 6.748912824150465894e-07 1.123555989579472225e-06 6.667098932666704059e-05 7.712092337897047400e-05 1.071283440978731960e-05 6.552479135280009359e-06 1.099270502891158685e-05 4.682350720486283535e-07 1.927098537635174580e-06 6.653093009845179040e-07 8.366902761736128014e-07 3.110213128820760176e-06 6.748912824150465894e-07 1.123555989579472225e-06
2.200000000000000000e+04 5.273431452224031091e-05 6.574136932613328099e-05 1.966766149053000845e-06 2.763709971986827441e-06 6.159238637337693945e-06 2.981925320000300417e-07 1.141345705946150701e-06 8.060369793838617625e-08 4.714549390882893931e-07 2.024558853008784354e-06 1.655700572200657916e-07 1.151443242974892200e-07 5.273431452224031091e-05 6.574136932613328099e-05 1.966766149053000845e-06 2.763709971986827441e-06 6.159238637337693945e-06 2.981925320000300417e-07 1.141345705946150701e-06 8.060369793838617625e-08 4.714549390882893931e-07 2.024558853008784354e-06 1.655700572200657916e-07 1.151443242974892200e-07
